DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-01-01,yes,10th & K St NW,0.0,2.0,2.0,23,0.1,0.0
2021-01-02,no,10th & K St NW,13.0,11.0,-2.0,23,-0.1,0.6
2021-01-03,no,10th & K St NW,1.0,4.0,3.0,23,0.1,0.0
2021-01-04,yes,10th & K St NW,11.0,7.0,-4.0,23,-0.2,0.5
2021-01-05,yes,10th & K St NW,9.0,9.0,0.0,23,0.0,0.4
2021-01-06,yes,10th & K St NW,9.0,7.0,-2.0,23,-0.1,0.4
2021-01-07,yes,10th & K St NW,11.0,10.0,-1.0,23,-0.0,0.5
2021-01-08,yes,10th & K St NW,9.0,9.0,0.0,23,0.0,0.4
2021-01-09,no,10th & K St NW,12.0,12.0,0.0,23,0.0,0.5
2021-01-10,no,10th & K St NW,10.0,17.0,7.0,23,0.3,0.4
2021-01-11,yes,10th & K St NW,6.0,7.0,1.0,23,0.0,0.3
2021-01-12,yes,10th & K St NW,23.0,18.0,-5.0,23,-0.2,1.0
2021-01-13,yes,10th & K St NW,17.0,12.0,-5.0,23,-0.2,0.7
2021-01-14,yes,10th & K St NW,18.0,14.0,-4.0,23,-0.2,0.8
2021-01-15,yes,10th & K St NW,10.0,8.0,-2.0,23,-0.1,0.4
2021-01-16,no,10th & K St NW,13.0,12.0,-1.0,23,-0.0,0.6
2021-01-17,no,10th & K St NW,8.0,13.0,5.0,23,0.2,0.3
2021-01-18,yes,10th & K St NW,17.0,13.0,-4.0,23,-0.2,0.7
2021-01-19,yes,10th & K St NW,22.0,16.0,-6.0,23,-0.3,1.0
2021-01-20,yes,10th & K St NW,8.0,10.0,2.0,23,0.1,0.3
2021-01-21,yes,10th & K St NW,7.0,8.0,1.0,23,0.0,0.3
2021-01-22,yes,10th & K St NW,10.0,7.0,-3.0,23,-0.1,0.4
2021-01-23,no,10th & K St NW,5.0,8.0,3.0,23,0.1,0.2
2021-01-24,no,10th & K St NW,3.0,3.0,0.0,23,0.0,0.1
2021-01-25,yes,10th & K St NW,4.0,4.0,0.0,23,0.0,0.2
2021-01-26,yes,10th & K St NW,5.0,6.0,1.0,23,0.0,0.2
2021-01-27,yes,10th & K St NW,13.0,8.0,-5.0,23,-0.2,0.6
2021-01-28,yes,10th & K St NW,8.0,7.0,-1.0,23,-0.0,0.3
2021-01-29,yes,10th & K St NW,10.0,14.0,4.0,23,0.2,0.4
2021-01-30,no,10th & K St NW,9.0,12.0,3.0,23,0.1,0.4
2021-01-31,no,10th & K St NW,5.0,4.0,-1.0,23,-0.0,0.2
2021-02-01,yes,10th & K St NW,4.0,5.0,1.0,23,0.0,0.2
2021-02-02,yes,10th & K St NW,13.0,8.0,-5.0,23,-0.2,0.6
2021-02-03,yes,10th & K St NW,16.0,13.0,-3.0,23,-0.1,0.7
2021-02-04,yes,10th & K St NW,17.0,16.0,-1.0,23,-0.0,0.7
2021-02-05,yes,10th & K St NW,14.0,14.0,0.0,23,0.0,0.6
2021-02-06,no,10th & K St NW,15.0,18.0,3.0,23,0.1,0.7
2021-02-07,no,10th & K St NW,7.0,8.0,1.0,23,0.0,0.3
2021-02-08,yes,10th & K St NW,9.0,7.0,-2.0,23,-0.1,0.4
2021-02-09,yes,10th & K St NW,10.0,11.0,1.0,23,0.0,0.4
2021-02-10,yes,10th & K St NW,8.0,5.0,-3.0,23,-0.1,0.3
2021-02-11,yes,10th & K St NW,5.0,6.0,1.0,23,0.0,0.2
2021-02-12,yes,10th & K St NW,6.0,7.0,1.0,23,0.0,0.3
2021-02-14,no,10th & K St NW,5.0,7.0,2.0,23,0.1,0.2
2021-02-15,yes,10th & K St NW,14.0,13.0,-1.0,23,-0.0,0.6
2021-02-16,yes,10th & K St NW,13.0,10.0,-3.0,23,-0.1,0.6
2021-02-17,yes,10th & K St NW,4.0,4.0,0.0,23,0.0,0.2
2021-02-18,yes,10th & K St NW,4.0,3.0,-1.0,23,-0.0,0.2
2021-02-19,yes,10th & K St NW,7.0,8.0,1.0,23,0.0,0.3
2021-02-20,no,10th & K St NW,9.0,10.0,1.0,23,0.0,0.4
2021-02-21,no,10th & K St NW,5.0,3.0,-2.0,23,-0.1,0.2
2021-02-22,yes,10th & K St NW,7.0,4.0,-3.0,23,-0.1,0.3
2021-02-23,yes,10th & K St NW,22.0,19.0,-3.0,23,-0.1,1.0
2021-02-24,yes,10th & K St NW,21.0,23.0,2.0,23,0.1,0.9
2021-02-25,yes,10th & K St NW,10.0,10.0,0.0,23,0.0,0.4
2021-02-26,yes,10th & K St NW,13.0,12.0,-1.0,23,-0.0,0.6
2021-02-27,no,10th & K St NW,12.0,9.0,-3.0,23,-0.1,0.5
2021-02-28,no,10th & K St NW,0.0,1.0,1.0,23,0.0,0.0
2021-03-01,yes,10th & K St NW,11.0,4.0,-7.0,23,-0.3,0.5
2021-03-02,yes,10th & K St NW,7.0,11.0,4.0,23,0.2,0.3
2021-03-03,yes,10th & K St NW,15.0,15.0,0.0,23,0.0,0.7
2021-03-04,yes,10th & K St NW,12.0,14.0,2.0,23,0.1,0.5
2021-03-05,yes,10th & K St NW,13.0,16.0,3.0,23,0.1,0.6
2021-03-06,no,10th & K St NW,12.0,11.0,-1.0,23,-0.0,0.5
2021-03-07,no,10th & K St NW,6.0,6.0,0.0,23,0.0,0.3
2021-03-08,yes,10th & K St NW,14.0,14.0,0.0,23,0.0,0.6
2021-03-09,yes,10th & K St NW,23.0,24.0,1.0,23,0.0,1.0
2021-03-10,yes,10th & K St NW,15.0,20.0,5.0,23,0.2,0.7
2021-03-11,yes,10th & K St NW,21.0,17.0,-4.0,23,-0.2,0.9
2021-03-12,yes,10th & K St NW,20.0,20.0,0.0,23,0.0,0.9
2021-03-13,no,10th & K St NW,20.0,26.0,6.0,23,0.3,0.9
2021-03-14,no,10th & K St NW,11.0,6.0,-5.0,23,-0.2,0.5
2021-03-15,yes,10th & K St NW,16.0,14.0,-2.0,23,-0.1,0.7
2021-03-16,yes,10th & K St NW,12.0,14.0,2.0,23,0.1,0.5
2021-03-17,yes,10th & K St NW,16.0,17.0,1.0,23,0.0,0.7
2021-03-18,yes,10th & K St NW,5.0,5.0,0.0,23,0.0,0.2
2021-03-19,yes,10th & K St NW,17.0,20.0,3.0,23,0.1,0.7
2021-03-20,no,10th & K St NW,24.0,33.0,9.0,23,0.4,1.0
2021-03-21,no,10th & K St NW,25.0,27.0,2.0,23,0.1,1.1
2021-03-22,yes,10th & K St NW,29.0,25.0,-4.0,23,-0.2,1.3
2021-03-23,yes,10th & K St NW,18.0,19.0,1.0,23,0.0,0.8
2021-03-24,yes,10th & K St NW,4.0,3.0,-1.0,23,-0.0,0.2
2021-03-25,yes,10th & K St NW,14.0,17.0,3.0,23,0.1,0.6
2021-03-26,yes,10th & K St NW,31.0,25.0,-6.0,23,-0.3,1.3
2021-03-27,no,10th & K St NW,21.0,16.0,-5.0,23,-0.2,0.9
2021-03-28,no,10th & K St NW,16.0,10.0,-6.0,23,-0.3,0.7
2021-03-29,yes,10th & K St NW,20.0,23.0,3.0,23,0.1,0.9
2021-03-30,yes,10th & K St NW,36.0,39.0,3.0,23,0.1,1.6
2021-03-31,yes,10th & K St NW,13.0,13.0,0.0,23,0.0,0.6
2021-04-01,yes,10th & K St NW,19.0,21.0,2.0,23,0.1,0.8
2021-04-02,yes,10th & K St NW,13.0,16.0,3.0,23,0.1,0.6
2021-04-03,no,10th & K St NW,28.0,36.0,8.0,23,0.3,1.2
2021-04-04,no,10th & K St NW,36.0,27.0,-9.0,23,-0.4,1.6
2021-04-05,yes,10th & K St NW,29.0,29.0,0.0,23,0.0,1.3
2021-04-06,yes,10th & K St NW,41.0,38.0,-3.0,23,-0.1,1.8
2021-04-07,yes,10th & K St NW,25.0,22.0,-3.0,23,-0.1,1.1
2021-04-08,yes,10th & K St NW,28.0,35.0,7.0,23,0.3,1.2
2021-04-09,yes,10th & K St NW,16.0,24.0,8.0,23,0.3,0.7
2021-04-10,no,10th & K St NW,31.0,29.0,-2.0,23,-0.1,1.3
2021-04-11,no,10th & K St NW,29.0,29.0,0.0,23,0.0,1.3
2021-04-12,yes,10th & K St NW,18.0,25.0,7.0,23,0.3,0.8
2021-04-13,yes,10th & K St NW,22.0,24.0,2.0,23,0.1,1.0
2021-04-14,yes,10th & K St NW,12.0,12.0,0.0,23,0.0,0.5
2021-04-15,yes,10th & K St NW,22.0,17.0,-5.0,23,-0.2,1.0
2021-04-16,yes,10th & K St NW,23.0,23.0,0.0,23,0.0,1.0
2021-04-17,no,10th & K St NW,32.0,38.0,6.0,23,0.3,1.4
2021-04-18,no,10th & K St NW,19.0,17.0,-2.0,23,-0.1,0.8
2021-04-19,yes,10th & K St NW,18.0,18.0,0.0,23,0.0,0.8
2021-04-20,yes,10th & K St NW,21.0,22.0,1.0,23,0.0,0.9
2021-04-21,yes,10th & K St NW,10.0,16.0,6.0,23,0.3,0.4
2021-04-22,yes,10th & K St NW,16.0,19.0,3.0,23,0.1,0.7
2021-04-23,yes,10th & K St NW,22.0,31.0,9.0,23,0.4,1.0
2021-04-24,no,10th & K St NW,20.0,17.0,-3.0,23,-0.1,0.9
2021-04-25,no,10th & K St NW,17.0,15.0,-2.0,23,-0.1,0.7
2021-04-26,yes,10th & K St NW,17.0,21.0,4.0,23,0.2,0.7
2021-04-27,yes,10th & K St NW,19.0,22.0,3.0,23,0.1,0.8
2021-04-28,yes,10th & K St NW,25.0,28.0,3.0,23,0.1,1.1
2021-04-29,yes,10th & K St NW,25.0,20.0,-5.0,23,-0.2,1.1
2021-04-30,yes,10th & K St NW,33.0,33.0,0.0,23,0.0,1.4
2021-05-01,no,10th & K St NW,36.0,34.0,-2.0,23,-0.1,1.6
2021-05-02,no,10th & K St NW,21.0,23.0,2.0,23,0.1,0.9
2021-05-03,yes,10th & K St NW,19.0,24.0,5.0,23,0.2,0.8
2021-05-04,yes,10th & K St NW,13.0,20.0,7.0,23,0.3,0.6
2021-05-05,yes,10th & K St NW,9.0,9.0,0.0,23,0.0,0.4
2021-05-06,yes,10th & K St NW,18.0,20.0,2.0,23,0.1,0.8
2021-05-07,yes,10th & K St NW,19.0,20.0,1.0,23,0.0,0.8
2021-05-08,no,10th & K St NW,35.0,28.0,-7.0,23,-0.3,1.5
2021-05-09,no,10th & K St NW,28.0,24.0,-4.0,23,-0.2,1.2
2021-05-10,yes,10th & K St NW,19.0,23.0,4.0,23,0.2,0.8
2021-05-11,yes,10th & K St NW,25.0,24.0,-1.0,23,-0.0,1.1
2021-05-12,yes,10th & K St NW,36.0,35.0,-1.0,23,-0.0,1.6
2021-05-13,yes,10th & K St NW,28.0,34.0,6.0,23,0.3,1.2
2021-05-14,yes,10th & K St NW,39.0,36.0,-3.0,23,-0.1,1.7
2021-05-15,no,10th & K St NW,29.0,25.0,-4.0,23,-0.2,1.3
2021-05-16,no,10th & K St NW,19.0,23.0,4.0,23,0.2,0.8
2021-05-17,yes,10th & K St NW,31.0,26.0,-5.0,23,-0.2,1.3
2021-05-18,yes,10th & K St NW,27.0,30.0,3.0,23,0.1,1.2
2021-05-19,yes,10th & K St NW,24.0,30.0,6.0,23,0.3,1.0
2021-05-20,yes,10th & K St NW,28.0,37.0,9.0,23,0.4,1.2
2021-05-21,yes,10th & K St NW,42.0,34.0,-8.0,23,-0.3,1.8
2021-05-22,no,10th & K St NW,27.0,26.0,-1.0,23,-0.0,1.2
2021-05-23,no,10th & K St NW,38.0,25.0,-13.0,23,-0.6,1.7
2021-05-24,yes,10th & K St NW,7.0,6.0,-1.0,23,-0.0,0.3
2021-05-25,yes,10th & K St NW,13.0,14.0,1.0,23,0.0,0.6
2021-05-26,yes,10th & K St NW,21.0,20.0,-1.0,23,-0.0,0.9
2021-05-27,yes,10th & K St NW,23.0,21.0,-2.0,23,-0.1,1.0
2021-05-28,yes,10th & K St NW,18.0,29.0,11.0,23,0.5,0.8
2021-05-29,no,10th & K St NW,12.0,11.0,-1.0,23,-0.0,0.5
2021-05-30,no,10th & K St NW,22.0,23.0,1.0,23,0.0,1.0
2021-05-31,yes,10th & K St NW,32.0,34.0,2.0,23,0.1,1.4
