DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-01-01,yes,Jefferson Dr & 14th St SW,4.0,3.0,-1.0,23,-0.0,0.2
2021-01-02,no,Jefferson Dr & 14th St SW,62.0,65.0,3.0,23,0.1,2.7
2021-01-03,no,Jefferson Dr & 14th St SW,4.0,9.0,5.0,23,0.2,0.2
2021-01-04,yes,Jefferson Dr & 14th St SW,12.0,6.0,-6.0,23,-0.3,0.5
2021-01-05,yes,Jefferson Dr & 14th St SW,5.0,12.0,7.0,23,0.3,0.2
2021-01-06,yes,Jefferson Dr & 14th St SW,4.0,11.0,7.0,23,0.3,0.2
2021-01-07,yes,Jefferson Dr & 14th St SW,19.0,31.0,12.0,23,0.5,0.8
2021-01-08,yes,Jefferson Dr & 14th St SW,7.0,11.0,4.0,23,0.2,0.3
2021-01-09,no,Jefferson Dr & 14th St SW,36.0,39.0,3.0,23,0.1,1.6
2021-01-10,no,Jefferson Dr & 14th St SW,28.0,28.0,0.0,23,0.0,1.2
2021-01-11,yes,Jefferson Dr & 14th St SW,4.0,5.0,1.0,23,0.0,0.2
2021-01-12,yes,Jefferson Dr & 14th St SW,10.0,6.0,-4.0,23,-0.2,0.4
2021-01-13,yes,Jefferson Dr & 14th St SW,8.0,4.0,-4.0,23,-0.2,0.3
2021-01-14,yes,Jefferson Dr & 14th St SW,0.0,5.0,5.0,23,0.2,0.0
2021-01-15,yes,Jefferson Dr & 14th St SW,0.0,4.0,4.0,23,0.2,0.0
2021-01-20,yes,Jefferson Dr & 14th St SW,0.0,1.0,1.0,23,0.0,0.0
2021-01-21,yes,Jefferson Dr & 14th St SW,0.0,11.0,11.0,23,0.5,0.0
2021-01-22,yes,Jefferson Dr & 14th St SW,27.0,22.0,-5.0,23,-0.2,1.2
2021-01-23,no,Jefferson Dr & 14th St SW,10.0,17.0,7.0,23,0.3,0.4
2021-01-24,no,Jefferson Dr & 14th St SW,17.0,23.0,6.0,23,0.3,0.7
2021-01-25,yes,Jefferson Dr & 14th St SW,4.0,4.0,0.0,23,0.0,0.2
2021-01-26,yes,Jefferson Dr & 14th St SW,1.0,1.0,0.0,23,0.0,0.0
2021-01-27,yes,Jefferson Dr & 14th St SW,5.0,6.0,1.0,23,0.0,0.2
2021-01-28,yes,Jefferson Dr & 14th St SW,6.0,7.0,1.0,23,0.0,0.3
2021-01-29,yes,Jefferson Dr & 14th St SW,8.0,7.0,-1.0,23,-0.0,0.3
