DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2022-08-20,no,10th St & Rhode Island Ave NE,2.0,2.0,0.0,19,0.0,0.1
2022-08-21,no,10th St & Rhode Island Ave NE,4.0,4.0,0.0,19,0.0,0.2
2022-08-22,yes,10th St & Rhode Island Ave NE,0.0,3.0,3.0,19,0.2,0.0
2022-08-23,yes,10th St & Rhode Island Ave NE,2.0,1.0,-1.0,19,-0.1,0.1
2022-08-24,yes,10th St & Rhode Island Ave NE,2.0,2.0,0.0,19,0.0,0.1
2022-08-25,yes,10th St & Rhode Island Ave NE,2.0,3.0,1.0,19,0.1,0.1
2022-08-26,yes,10th St & Rhode Island Ave NE,6.0,5.0,-1.0,19,-0.1,0.3
2022-08-27,no,10th St & Rhode Island Ave NE,9.0,10.0,1.0,19,0.1,0.5
2022-08-28,no,10th St & Rhode Island Ave NE,2.0,4.0,2.0,19,0.1,0.1
2022-08-29,yes,10th St & Rhode Island Ave NE,5.0,4.0,-1.0,19,-0.1,0.3
2022-08-30,yes,10th St & Rhode Island Ave NE,2.0,2.0,0.0,19,0.0,0.1
2022-08-31,yes,10th St & Rhode Island Ave NE,4.0,5.0,1.0,19,0.1,0.2
2022-09-01,yes,10th St & Rhode Island Ave NE,7.0,4.0,-3.0,19,-0.2,0.4
2022-09-02,yes,10th St & Rhode Island Ave NE,0.0,1.0,1.0,19,0.1,0.0
2022-09-03,no,10th St & Rhode Island Ave NE,6.0,4.0,-2.0,19,-0.1,0.3
2022-09-04,no,10th St & Rhode Island Ave NE,6.0,6.0,0.0,19,0.0,0.3
2022-09-05,yes,10th St & Rhode Island Ave NE,7.0,5.0,-2.0,19,-0.1,0.4
2022-09-06,yes,10th St & Rhode Island Ave NE,3.0,3.0,0.0,19,0.0,0.2
2022-09-07,yes,10th St & Rhode Island Ave NE,1.0,1.0,0.0,19,0.0,0.1
2022-09-08,yes,10th St & Rhode Island Ave NE,1.0,2.0,1.0,19,0.1,0.1
2022-09-09,yes,10th St & Rhode Island Ave NE,3.0,4.0,1.0,19,0.1,0.2
2022-09-10,no,10th St & Rhode Island Ave NE,4.0,3.0,-1.0,19,-0.1,0.2
2022-09-11,no,10th St & Rhode Island Ave NE,4.0,7.0,3.0,19,0.2,0.2
2022-09-12,yes,10th St & Rhode Island Ave NE,3.0,2.0,-1.0,19,-0.1,0.2
2022-09-13,yes,10th St & Rhode Island Ave NE,4.0,6.0,2.0,19,0.1,0.2
2022-09-14,yes,10th St & Rhode Island Ave NE,3.0,4.0,1.0,19,0.1,0.2
2022-09-15,yes,10th St & Rhode Island Ave NE,10.0,14.0,4.0,19,0.2,0.5
2022-09-16,yes,10th St & Rhode Island Ave NE,3.0,4.0,1.0,19,0.1,0.2
2022-09-17,no,10th St & Rhode Island Ave NE,13.0,10.0,-3.0,19,-0.2,0.7
2022-09-18,no,10th St & Rhode Island Ave NE,13.0,5.0,-8.0,19,-0.4,0.7
2022-09-19,yes,10th St & Rhode Island Ave NE,5.0,6.0,1.0,19,0.1,0.3
2022-09-20,yes,10th St & Rhode Island Ave NE,5.0,7.0,2.0,19,0.1,0.3
2022-09-21,yes,10th St & Rhode Island Ave NE,6.0,8.0,2.0,19,0.1,0.3
2022-09-22,yes,10th St & Rhode Island Ave NE,6.0,2.0,-4.0,19,-0.2,0.3
2022-09-23,yes,10th St & Rhode Island Ave NE,4.0,2.0,-2.0,19,-0.1,0.2
2022-09-24,no,10th St & Rhode Island Ave NE,5.0,4.0,-1.0,19,-0.1,0.3
2022-09-25,no,10th St & Rhode Island Ave NE,3.0,6.0,3.0,19,0.2,0.2
2022-09-26,yes,10th St & Rhode Island Ave NE,3.0,1.0,-2.0,19,-0.1,0.2
2022-09-27,yes,10th St & Rhode Island Ave NE,2.0,1.0,-1.0,19,-0.1,0.1
2022-09-28,yes,10th St & Rhode Island Ave NE,2.0,3.0,1.0,19,0.1,0.1
2022-09-29,yes,10th St & Rhode Island Ave NE,2.0,3.0,1.0,19,0.1,0.1
