DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2023-02-23,yes,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-02-24,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-02-26,no,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-02-28,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-01,yes,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-03-04,no,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-05,no,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-03-06,yes,12th & Varnum St NE,1.0,3.0,2.0,15,0.1,0.1
2023-03-07,yes,12th & Varnum St NE,0.0,1.0,1.0,15,0.1,0.0
2023-03-09,yes,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-03-10,yes,12th & Varnum St NE,0.0,1.0,1.0,15,0.1,0.0
2023-03-11,no,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-12,no,12th & Varnum St NE,0.0,1.0,1.0,15,0.1,0.0
2023-03-14,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-16,yes,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-03-20,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-21,yes,12th & Varnum St NE,3.0,4.0,1.0,15,0.1,0.2
2023-03-22,yes,12th & Varnum St NE,0.0,1.0,1.0,15,0.1,0.0
2023-03-23,yes,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-03-25,no,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-03-26,no,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-03-27,yes,12th & Varnum St NE,4.0,3.0,-1.0,15,-0.1,0.3
2023-03-28,yes,12th & Varnum St NE,2.0,3.0,1.0,15,0.1,0.1
2023-03-30,yes,12th & Varnum St NE,4.0,1.0,-3.0,15,-0.2,0.3
2023-04-01,no,12th & Varnum St NE,7.0,2.0,-5.0,15,-0.3,0.5
2023-04-02,no,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-04-03,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-04-04,yes,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-04-05,yes,12th & Varnum St NE,2.0,3.0,1.0,15,0.1,0.1
2023-04-06,yes,12th & Varnum St NE,1.0,1.0,0.0,15,0.0,0.1
2023-04-07,yes,12th & Varnum St NE,5.0,5.0,0.0,15,0.0,0.3
2023-04-08,no,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-04-11,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
