DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-11-30,yes,10th & H St NE,5.0,7.0,2.0,19,0.1,0.3
2021-12-01,yes,10th & H St NE,9.0,9.0,0.0,19,0.0,0.5
2021-12-02,yes,10th & H St NE,16.0,13.0,-3.0,19,-0.2,0.8
2021-12-03,yes,10th & H St NE,8.0,17.0,9.0,19,0.5,0.4
2021-12-04,no,10th & H St NE,31.0,35.0,4.0,19,0.2,1.6
2021-12-05,no,10th & H St NE,16.0,13.0,-3.0,19,-0.2,0.8
2021-12-06,yes,10th & H St NE,16.0,19.0,3.0,19,0.2,0.8
2021-12-07,yes,10th & H St NE,13.0,14.0,1.0,19,0.1,0.7
2021-12-08,yes,10th & H St NE,13.0,8.0,-5.0,19,-0.3,0.7
2021-12-09,yes,10th & H St NE,8.0,10.0,2.0,19,0.1,0.4
2021-12-10,yes,10th & H St NE,19.0,21.0,2.0,19,0.1,1.0
2021-12-11,no,10th & H St NE,15.0,16.0,1.0,19,0.1,0.8
2021-12-12,no,10th & H St NE,15.0,14.0,-1.0,19,-0.1,0.8
2021-12-13,yes,10th & H St NE,13.0,14.0,1.0,19,0.1,0.7
2021-12-14,yes,10th & H St NE,19.0,15.0,-4.0,19,-0.2,1.0
2021-12-15,yes,10th & H St NE,16.0,24.0,8.0,19,0.4,0.8
2021-12-16,yes,10th & H St NE,20.0,15.0,-5.0,19,-0.3,1.1
2021-12-17,yes,10th & H St NE,17.0,16.0,-1.0,19,-0.1,0.9
2021-12-18,no,10th & H St NE,11.0,11.0,0.0,19,0.0,0.6
2021-12-19,no,10th & H St NE,7.0,8.0,1.0,19,0.1,0.4
2021-12-20,yes,10th & H St NE,4.0,6.0,2.0,19,0.1,0.2
2021-12-21,yes,10th & H St NE,9.0,9.0,0.0,19,0.0,0.5
2021-12-22,yes,10th & H St NE,8.0,7.0,-1.0,19,-0.1,0.4
2021-12-23,yes,10th & H St NE,2.0,7.0,5.0,19,0.3,0.1
2021-12-24,yes,10th & H St NE,8.0,8.0,0.0,19,0.0,0.4
2021-12-25,no,10th & H St NE,2.0,4.0,2.0,19,0.1,0.1
2021-12-26,no,10th & H St NE,4.0,7.0,3.0,19,0.2,0.2
2021-12-27,yes,10th & H St NE,8.0,10.0,2.0,19,0.1,0.4
2021-12-28,yes,10th & H St NE,11.0,9.0,-2.0,19,-0.1,0.6
2021-12-29,yes,10th & H St NE,9.0,6.0,-3.0,19,-0.2,0.5
2021-12-30,yes,10th & H St NE,7.0,13.0,6.0,19,0.3,0.4
2021-12-31,yes,10th & H St NE,12.0,7.0,-5.0,19,-0.3,0.6
2022-01-01,no,10th & H St NE,3.0,8.0,5.0,19,0.3,0.2
2022-01-02,no,10th & H St NE,8.0,10.0,2.0,19,0.1,0.4
2022-01-04,yes,10th & H St NE,3.0,4.0,1.0,19,0.1,0.2
2022-01-05,yes,10th & H St NE,6.0,6.0,0.0,19,0.0,0.3
2022-01-06,yes,10th & H St NE,17.0,14.0,-3.0,19,-0.2,0.9
2022-01-07,yes,10th & H St NE,13.0,14.0,1.0,19,0.1,0.7
2022-01-08,no,10th & H St NE,5.0,6.0,1.0,19,0.1,0.3
2022-01-09,no,10th & H St NE,5.0,3.0,-2.0,19,-0.1,0.3
2022-01-10,yes,10th & H St NE,13.0,13.0,0.0,19,0.0,0.7
2022-01-11,yes,10th & H St NE,10.0,12.0,2.0,19,0.1,0.5
2022-01-12,yes,10th & H St NE,18.0,16.0,-2.0,19,-0.1,0.9
2022-01-13,yes,10th & H St NE,13.0,14.0,1.0,19,0.1,0.7
2022-01-14,yes,10th & H St NE,15.0,13.0,-2.0,19,-0.1,0.8
2022-01-15,no,10th & H St NE,6.0,7.0,1.0,19,0.1,0.3
2022-01-16,no,10th & H St NE,6.0,5.0,-1.0,19,-0.1,0.3
2022-01-17,yes,10th & H St NE,8.0,6.0,-2.0,19,-0.1,0.4
2022-01-18,yes,10th & H St NE,9.0,14.0,5.0,19,0.3,0.5
2022-01-19,yes,10th & H St NE,10.0,11.0,1.0,19,0.1,0.5
2022-01-20,yes,10th & H St NE,8.0,8.0,0.0,19,0.0,0.4
2022-01-21,yes,10th & H St NE,8.0,10.0,2.0,19,0.1,0.4
2022-01-22,no,10th & H St NE,6.0,12.0,6.0,19,0.3,0.3
2022-01-23,no,10th & H St NE,5.0,6.0,1.0,19,0.1,0.3
2022-01-24,yes,10th & H St NE,11.0,9.0,-2.0,19,-0.1,0.6
2022-01-25,yes,10th & H St NE,9.0,18.0,9.0,19,0.5,0.5
2022-01-26,yes,10th & H St NE,12.0,14.0,2.0,19,0.1,0.6
2022-01-27,yes,10th & H St NE,10.0,13.0,3.0,19,0.2,0.5
2022-01-28,yes,10th & H St NE,8.0,9.0,1.0,19,0.1,0.4
2022-01-29,no,10th & H St NE,7.0,4.0,-3.0,19,-0.2,0.4
2022-01-30,no,10th & H St NE,5.0,5.0,0.0,19,0.0,0.3
2022-01-31,yes,10th & H St NE,11.0,12.0,1.0,19,0.1,0.6
2022-02-01,yes,10th & H St NE,17.0,18.0,1.0,19,0.1,0.9
2022-02-02,yes,10th & H St NE,7.0,9.0,2.0,19,0.1,0.4
2022-02-03,yes,10th & H St NE,14.0,14.0,0.0,19,0.0,0.7
2022-02-04,yes,10th & H St NE,6.0,6.0,0.0,19,0.0,0.3
2022-02-05,no,10th & H St NE,6.0,11.0,5.0,19,0.3,0.3
2022-02-06,no,10th & H St NE,9.0,8.0,-1.0,19,-0.1,0.5
2022-02-07,yes,10th & H St NE,7.0,6.0,-1.0,19,-0.1,0.4
2022-02-08,yes,10th & H St NE,10.0,13.0,3.0,19,0.2,0.5
2022-02-09,yes,10th & H St NE,3.0,8.0,5.0,19,0.3,0.2
2022-02-10,yes,10th & H St NE,12.0,11.0,-1.0,19,-0.1,0.6
2022-02-11,yes,10th & H St NE,27.0,30.0,3.0,19,0.2,1.4
2022-02-12,no,10th & H St NE,25.0,16.0,-9.0,19,-0.5,1.3
2022-02-13,no,10th & H St NE,6.0,6.0,0.0,19,0.0,0.3
2022-02-14,yes,10th & H St NE,10.0,13.0,3.0,19,0.2,0.5
2022-02-15,yes,10th & H St NE,12.0,13.0,1.0,19,0.1,0.6
2022-02-16,yes,10th & H St NE,14.0,12.0,-2.0,19,-0.1,0.7
