DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-01-01,yes,11th & M St NW,13.0,13.0,0.0,23,0.0,0.6
2021-01-02,no,11th & M St NW,24.0,27.0,3.0,23,0.1,1.0
2021-01-03,no,11th & M St NW,18.0,13.0,-5.0,23,-0.2,0.8
2021-01-04,yes,11th & M St NW,19.0,23.0,4.0,23,0.2,0.8
2021-01-05,yes,11th & M St NW,20.0,13.0,-7.0,23,-0.3,0.9
2021-01-06,yes,11th & M St NW,14.0,20.0,6.0,23,0.3,0.6
2021-01-07,yes,11th & M St NW,33.0,27.0,-6.0,23,-0.3,1.4
2021-01-08,yes,11th & M St NW,35.0,30.0,-5.0,23,-0.2,1.5
2021-01-09,no,11th & M St NW,29.0,23.0,-6.0,23,-0.3,1.3
2021-01-10,no,11th & M St NW,20.0,18.0,-2.0,23,-0.1,0.9
2021-01-11,yes,11th & M St NW,33.0,25.0,-8.0,23,-0.3,1.4
2021-01-12,yes,11th & M St NW,29.0,26.0,-3.0,23,-0.1,1.3
2021-01-13,yes,11th & M St NW,25.0,29.0,4.0,23,0.2,1.1
2021-01-14,yes,11th & M St NW,41.0,35.0,-6.0,23,-0.3,1.8
2021-01-15,yes,11th & M St NW,26.0,20.0,-6.0,23,-0.3,1.1
2021-01-16,no,11th & M St NW,17.0,25.0,8.0,23,0.3,0.7
2021-01-17,no,11th & M St NW,40.0,35.0,-5.0,23,-0.2,1.7
2021-01-18,yes,11th & M St NW,43.0,30.0,-13.0,23,-0.6,1.9
2021-01-19,yes,11th & M St NW,30.0,24.0,-6.0,23,-0.3,1.3
2021-01-20,yes,11th & M St NW,17.0,14.0,-3.0,23,-0.1,0.7
2021-01-21,yes,11th & M St NW,28.0,30.0,2.0,23,0.1,1.2
2021-01-22,yes,11th & M St NW,35.0,38.0,3.0,23,0.1,1.5
2021-01-23,no,11th & M St NW,29.0,23.0,-6.0,23,-0.3,1.3
2021-01-24,no,11th & M St NW,32.0,31.0,-1.0,23,-0.0,1.4
2021-01-25,yes,11th & M St NW,26.0,27.0,1.0,23,0.0,1.1
2021-01-26,yes,11th & M St NW,20.0,17.0,-3.0,23,-0.1,0.9
2021-01-27,yes,11th & M St NW,34.0,29.0,-5.0,23,-0.2,1.5
2021-01-28,yes,11th & M St NW,28.0,21.0,-7.0,23,-0.3,1.2
2021-01-29,yes,11th & M St NW,22.0,22.0,0.0,23,0.0,1.0
2021-01-30,no,11th & M St NW,31.0,30.0,-1.0,23,-0.0,1.3
2021-01-31,no,11th & M St NW,10.0,4.0,-6.0,23,-0.3,0.4
2021-02-01,yes,11th & M St NW,6.0,11.0,5.0,23,0.2,0.3
2021-02-02,yes,11th & M St NW,19.0,20.0,1.0,23,0.0,0.8
2021-02-03,yes,11th & M St NW,26.0,24.0,-2.0,23,-0.1,1.1
2021-02-04,yes,11th & M St NW,34.0,31.0,-3.0,23,-0.1,1.5
2021-02-05,yes,11th & M St NW,30.0,22.0,-8.0,23,-0.3,1.3
2021-02-06,no,11th & M St NW,44.0,28.0,-16.0,23,-0.7,1.9
2021-02-07,no,11th & M St NW,25.0,32.0,7.0,23,0.3,1.1
2021-02-08,yes,11th & M St NW,23.0,20.0,-3.0,23,-0.1,1.0
2021-02-09,yes,11th & M St NW,37.0,22.0,-15.0,23,-0.7,1.6
2021-02-10,yes,11th & M St NW,21.0,15.0,-6.0,23,-0.3,0.9
2021-02-11,yes,11th & M St NW,27.0,20.0,-7.0,23,-0.3,1.2
2021-02-12,yes,11th & M St NW,21.0,20.0,-1.0,23,-0.0,0.9
2021-02-13,no,11th & M St NW,15.0,12.0,-3.0,23,-0.1,0.7
2021-02-14,no,11th & M St NW,17.0,18.0,1.0,23,0.0,0.7
2021-02-15,yes,11th & M St NW,40.0,24.0,-16.0,23,-0.7,1.7
2021-02-16,yes,11th & M St NW,30.0,20.0,-10.0,23,-0.4,1.3
2021-02-17,yes,11th & M St NW,17.0,14.0,-3.0,23,-0.1,0.7
2021-02-18,yes,11th & M St NW,9.0,8.0,-1.0,23,-0.0,0.4
2021-02-19,yes,11th & M St NW,23.0,25.0,2.0,23,0.1,1.0
2021-02-20,no,11th & M St NW,21.0,16.0,-5.0,23,-0.2,0.9
2021-02-21,no,11th & M St NW,31.0,24.0,-7.0,23,-0.3,1.3
2021-02-22,yes,11th & M St NW,17.0,10.0,-7.0,23,-0.3,0.7
2021-02-23,yes,11th & M St NW,13.0,22.0,9.0,23,0.4,0.6
2021-02-24,yes,11th & M St NW,46.0,40.0,-6.0,23,-0.3,2.0
2021-02-25,yes,11th & M St NW,38.0,30.0,-8.0,23,-0.3,1.7
2021-02-26,yes,11th & M St NW,38.0,29.0,-9.0,23,-0.4,1.7
2021-02-27,no,11th & M St NW,35.0,32.0,-3.0,23,-0.1,1.5
2021-02-28,no,11th & M St NW,12.0,8.0,-4.0,23,-0.2,0.5
