YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,Jefferson Dr & 14th St SW,111.0,138.0,27.0,23,1.2,0.7
2021,2,Jefferson Dr & 14th St SW,22.0,24.0,2.0,23,0.1,0.1
2021,3,Jefferson Dr & 14th St SW,54.0,74.0,20.0,23,0.9,0.3
2021,4,Jefferson Dr & 14th St SW,43.0,47.0,4.0,23,0.2,0.3
2021,5,Jefferson Dr & 14th St SW,66.0,60.0,-6.0,23,-0.3,0.4
2021,6,Jefferson Dr & 14th St SW,42.0,39.0,-3.0,23,-0.1,0.3
2021,7,Jefferson Dr & 14th St SW,50.0,69.0,19.0,23,0.8,0.3
2021,8,Jefferson Dr & 14th St SW,85.0,99.0,14.0,23,0.6,0.5
2021,9,Jefferson Dr & 14th St SW,87.0,109.0,22.0,23,1.0,0.5
2021,10,Jefferson Dr & 14th St SW,294.0,296.0,2.0,23,0.1,1.8
2021,11,Jefferson Dr & 14th St SW,217.0,248.0,31.0,23,1.3,1.3
2021,12,Jefferson Dr & 14th St SW,415.0,437.0,22.0,23,1.0,2.6
2021,13,Jefferson Dr & 14th St SW,619.0,659.0,40.0,23,1.7,3.8
2021,14,Jefferson Dr & 14th St SW,538.0,552.0,14.0,23,0.6,3.3
2021,15,Jefferson Dr & 14th St SW,251.0,276.0,25.0,23,1.1,1.6
2021,16,Jefferson Dr & 14th St SW,204.0,238.0,34.0,23,1.5,1.3
2021,17,Jefferson Dr & 14th St SW,320.0,320.0,0.0,23,0.0,2.0
2021,18,Jefferson Dr & 14th St SW,191.0,194.0,3.0,23,0.1,1.2
2021,19,Jefferson Dr & 14th St SW,353.0,384.0,31.0,23,1.3,2.2
2021,20,Jefferson Dr & 14th St SW,511.0,565.0,54.0,23,2.3,3.2
2021,21,Jefferson Dr & 14th St SW,317.0,331.0,14.0,23,0.6,2.0
2021,22,Jefferson Dr & 14th St SW,448.0,480.0,32.0,23,1.4,2.8
2021,23,Jefferson Dr & 14th St SW,318.0,326.0,8.0,23,0.3,2.0
