YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,10th & K St NW,71.0,71.0,0.0,23,0.0,0.4
2021,2,10th & K St NW,95.0,84.0,-11.0,23,-0.5,0.6
2021,3,10th & K St NW,72.0,65.0,-7.0,23,-0.3,0.4
2021,4,10th & K St NW,54.0,55.0,1.0,23,0.0,0.3
2021,5,10th & K St NW,86.0,82.0,-4.0,23,-0.2,0.5
2021,6,10th & K St NW,43.0,43.0,0.0,23,0.0,0.3
2021,7,10th & K St NW,56.0,51.0,-5.0,23,-0.2,0.3
2021,8,10th & K St NW,85.0,78.0,-7.0,23,-0.3,0.5
2021,9,10th & K St NW,76.0,77.0,1.0,23,0.0,0.5
2021,10,10th & K St NW,124.0,127.0,3.0,23,0.1,0.8
2021,11,10th & K St NW,115.0,130.0,15.0,23,0.7,0.7
2021,12,10th & K St NW,133.0,115.0,-18.0,23,-0.8,0.8
2021,13,10th & K St NW,165.0,175.0,10.0,23,0.4,1.0
2021,14,10th & K St NW,199.0,206.0,7.0,23,0.3,1.2
2021,15,10th & K St NW,148.0,156.0,8.0,23,0.3,0.9
2021,16,10th & K St NW,124.0,138.0,14.0,23,0.6,0.8
2021,17,10th & K St NW,176.0,181.0,5.0,23,0.2,1.1
2021,18,10th & K St NW,141.0,145.0,4.0,23,0.2,0.9
2021,19,10th & K St NW,195.0,200.0,5.0,23,0.2,1.2
2021,20,10th & K St NW,217.0,208.0,-9.0,23,-0.4,1.3
2021,21,10th & K St NW,116.0,124.0,8.0,23,0.3,0.7
2021,22,10th & K St NW,213.0,196.0,-17.0,23,-0.7,1.3
2021,23,10th & K St NW,208.0,205.0,-3.0,23,-0.1,1.3
2021,24,10th & K St NW,242.0,234.0,-8.0,23,-0.3,1.5
2021,25,10th & K St NW,246.0,249.0,3.0,23,0.1,1.5
2021,26,10th & K St NW,224.0,226.0,2.0,23,0.1,1.4
2021,27,10th & K St NW,236.0,222.0,-14.0,23,-0.6,1.5
2021,28,10th & K St NW,276.0,253.0,-23.0,23,-1.0,1.7
2021,29,10th & K St NW,253.0,230.0,-23.0,23,-1.0,1.6
2021,30,10th & K St NW,263.0,234.0,-29.0,23,-1.3,1.6
2021,31,10th & K St NW,239.0,230.0,-9.0,23,-0.4,1.5
2021,32,10th & K St NW,219.0,205.0,-14.0,23,-0.6,1.4
2021,33,10th & K St NW,226.0,211.0,-15.0,23,-0.7,1.4
2021,34,10th & K St NW,249.0,248.0,-1.0,23,-0.0,1.5
2021,35,10th & K St NW,210.0,217.0,7.0,23,0.3,1.3
2021,36,10th & K St NW,260.0,237.0,-23.0,23,-1.0,1.6
2021,37,10th & K St NW,250.0,237.0,-13.0,23,-0.6,1.6
2021,38,10th & K St NW,252.0,235.0,-17.0,23,-0.7,1.6
2021,39,10th & K St NW,301.0,298.0,-3.0,23,-0.1,1.9
2021,40,10th & K St NW,285.0,274.0,-11.0,23,-0.5,1.8
2021,41,10th & K St NW,233.0,220.0,-13.0,23,-0.6,1.4
2021,42,10th & K St NW,349.0,324.0,-25.0,23,-1.1,2.2
2021,43,10th & K St NW,280.0,268.0,-12.0,23,-0.5,1.7
2021,44,10th & K St NW,264.0,244.0,-20.0,23,-0.9,1.6
2021,45,10th & K St NW,290.0,274.0,-16.0,23,-0.7,1.8
2021,46,10th & K St NW,223.0,200.0,-23.0,23,-1.0,1.4
2021,47,10th & K St NW,167.0,141.0,-26.0,23,-1.1,1.0
2021,48,10th & K St NW,231.0,222.0,-9.0,23,-0.4,1.4
2021,49,10th & K St NW,240.0,229.0,-11.0,23,-0.5,1.5
2021,50,10th & K St NW,198.0,169.0,-29.0,23,-1.3,1.2
2021,51,10th & K St NW,108.0,97.0,-11.0,23,-0.5,0.7
2021,52,10th & K St NW,83.0,78.0,-5.0,23,-0.2,0.5
2021,53,10th & K St NW,14.0,17.0,3.0,23,0.1,0.1
2022,1,10th & K St NW,48.0,44.0,-4.0,23,-0.2,0.3
2022,2,10th & K St NW,102.0,92.0,-10.0,23,-0.4,0.6
2022,3,10th & K St NW,85.0,83.0,-2.0,23,-0.1,0.5
2022,4,10th & K St NW,88.0,79.0,-9.0,23,-0.4,0.5
2022,5,10th & K St NW,93.0,98.0,5.0,23,0.2,0.6
2022,6,10th & K St NW,123.0,113.0,-10.0,23,-0.4,0.8
2022,7,10th & K St NW,109.0,117.0,8.0,23,0.3,0.7
2022,8,10th & K St NW,135.0,140.0,5.0,23,0.2,0.8
2022,9,10th & K St NW,192.0,192.0,0.0,23,0.0,1.2
2022,10,10th & K St NW,156.0,160.0,4.0,23,0.2,1.0
2022,11,10th & K St NW,265.0,255.0,-10.0,23,-0.4,1.6
2022,12,10th & K St NW,292.0,278.0,-14.0,23,-0.6,1.8
2022,13,10th & K St NW,258.0,234.0,-24.0,23,-1.0,1.6
2022,14,10th & K St NW,236.0,205.0,-31.0,23,-1.3,1.5
2022,15,10th & K St NW,339.0,329.0,-10.0,23,-0.4,2.1
2022,16,10th & K St NW,244.0,246.0,2.0,23,0.1,1.5
2022,17,10th & K St NW,342.0,367.0,25.0,23,1.1,2.1
2022,18,10th & K St NW,256.0,258.0,2.0,23,0.1,1.6
2022,19,10th & K St NW,282.0,311.0,29.0,23,1.3,1.8
2022,20,10th & K St NW,280.0,284.0,4.0,23,0.2,1.7
2022,21,10th & K St NW,301.0,313.0,12.0,23,0.5,1.9
2022,22,10th & K St NW,309.0,307.0,-2.0,23,-0.1,1.9
2022,23,10th & K St NW,326.0,363.0,37.0,23,1.6,2.0
2022,24,10th & K St NW,377.0,387.0,10.0,23,0.4,2.3
2022,25,10th & K St NW,344.0,344.0,0.0,23,0.0,2.1
2022,26,10th & K St NW,365.0,364.0,-1.0,23,-0.0,2.3
2022,27,10th & K St NW,332.0,341.0,9.0,23,0.4,2.1
2022,28,10th & K St NW,343.0,372.0,29.0,23,1.3,2.1
2022,29,10th & K St NW,368.0,372.0,4.0,23,0.2,2.3
2022,30,10th & K St NW,321.0,337.0,16.0,23,0.7,2.0
2022,31,10th & K St NW,309.0,311.0,2.0,23,0.1,1.9
2022,32,10th & K St NW,372.0,383.0,11.0,23,0.5,2.3
2022,33,10th & K St NW,376.0,393.0,17.0,23,0.7,2.3
2022,34,10th & K St NW,359.0,371.0,12.0,23,0.5,2.2
2022,35,10th & K St NW,355.0,394.0,39.0,23,1.7,2.2
2022,36,10th & K St NW,302.0,304.0,2.0,23,0.1,1.9
2022,37,10th & K St NW,360.0,368.0,8.0,23,0.3,2.2
2022,38,10th & K St NW,352.0,358.0,6.0,23,0.3,2.2
2022,39,10th & K St NW,303.0,304.0,1.0,23,0.0,1.9
2022,40,10th & K St NW,230.0,247.0,17.0,23,0.7,1.4
2022,41,10th & K St NW,297.0,304.0,7.0,23,0.3,1.8
2022,42,10th & K St NW,283.0,286.0,3.0,23,0.1,1.8
2022,43,10th & K St NW,351.0,357.0,6.0,23,0.3,2.2
2022,44,10th & K St NW,308.0,312.0,4.0,23,0.2,1.9
2022,45,10th & K St NW,269.0,268.0,-1.0,23,-0.0,1.7
2022,46,10th & K St NW,201.0,197.0,-4.0,23,-0.2,1.2
2022,47,10th & K St NW,141.0,157.0,16.0,23,0.7,0.9
2022,48,10th & K St NW,182.0,187.0,5.0,23,0.2,1.1
2022,49,10th & K St NW,203.0,215.0,12.0,23,0.5,1.3
2022,50,10th & K St NW,185.0,183.0,-2.0,23,-0.1,1.1
2022,51,10th & K St NW,111.0,94.0,-17.0,23,-0.7,0.7
2022,52,10th & K St NW,105.0,117.0,12.0,23,0.5,0.7
2023,1,10th & K St NW,181.0,196.0,15.0,23,0.7,1.1
2023,2,10th & K St NW,217.0,214.0,-3.0,23,-0.1,1.3
2023,3,10th & K St NW,197.0,205.0,8.0,23,0.3,1.2
2023,4,10th & K St NW,176.0,172.0,-4.0,23,-0.2,1.1
2023,5,10th & K St NW,174.0,179.0,5.0,23,0.2,1.1
2023,6,10th & K St NW,215.0,200.0,-15.0,23,-0.7,1.3
2023,7,10th & K St NW,187.0,178.0,-9.0,23,-0.4,1.2
2023,8,10th & K St NW,194.0,209.0,15.0,23,0.7,1.2
2023,9,10th & K St NW,178.0,177.0,-1.0,23,-0.0,1.1
2023,10,10th & K St NW,137.0,139.0,2.0,23,0.1,0.9
2023,11,10th & K St NW,183.0,187.0,4.0,23,0.2,1.1
2023,12,10th & K St NW,263.0,251.0,-12.0,23,-0.5,1.6
2023,13,10th & K St NW,321.0,327.0,6.0,23,0.3,2.0
2023,14,10th & K St NW,274.0,279.0,5.0,23,0.2,1.7
2023,15,10th & K St NW,352.0,346.0,-6.0,23,-0.3,2.2
2023,16,10th & K St NW,335.0,330.0,-5.0,23,-0.2,2.1
2023,17,10th & K St NW,232.0,244.0,12.0,23,0.5,1.4
2023,18,10th & K St NW,297.0,290.0,-7.0,23,-0.3,1.8
2023,19,10th & K St NW,306.0,321.0,15.0,23,0.7,1.9
2023,20,10th & K St NW,326.0,321.0,-5.0,23,-0.2,2.0
2023,21,10th & K St NW,306.0,307.0,1.0,23,0.0,1.9
2023,22,10th & K St NW,321.0,351.0,30.0,23,1.3,2.0
2023,23,10th & K St NW,309.0,332.0,23.0,23,1.0,1.9
2023,24,10th & K St NW,347.0,340.0,-7.0,23,-0.3,2.2
2023,25,10th & K St NW,271.0,279.0,8.0,23,0.3,1.7
2023,26,10th & K St NW,274.0,277.0,3.0,23,0.1,1.7
2023,27,10th & K St NW,308.0,316.0,8.0,23,0.3,1.9
2023,28,10th & K St NW,317.0,314.0,-3.0,23,-0.1,2.0
2023,29,10th & K St NW,349.0,344.0,-5.0,23,-0.2,2.2
2023,30,10th & K St NW,266.0,257.0,-9.0,23,-0.4,1.7
2023,31,10th & K St NW,300.0,308.0,8.0,23,0.3,1.9
2023,32,10th & K St NW,321.0,319.0,-2.0,23,-0.1,2.0
2023,33,10th & K St NW,318.0,324.0,6.0,23,0.3,2.0
2023,34,10th & K St NW,305.0,306.0,1.0,23,0.0,1.9
2023,35,10th & K St NW,339.0,344.0,5.0,23,0.2,2.1
2023,36,10th & K St NW,242.0,235.0,-7.0,23,-0.3,1.5
2023,37,10th & K St NW,327.0,344.0,17.0,23,0.7,2.0
2023,38,10th & K St NW,245.0,251.0,6.0,23,0.3,1.5
2023,39,10th & K St NW,314.0,330.0,16.0,23,0.7,2.0
2023,40,10th & K St NW,270.0,285.0,15.0,23,0.7,1.7
2023,41,10th & K St NW,300.0,305.0,5.0,23,0.2,1.9
2023,42,10th & K St NW,278.0,298.0,20.0,23,0.9,1.7
2023,43,10th & K St NW,322.0,334.0,12.0,23,0.5,2.0
2023,44,10th & K St NW,270.0,288.0,18.0,23,0.8,1.7
2023,45,10th & K St NW,284.0,293.0,9.0,23,0.4,1.8
2023,46,10th & K St NW,272.0,289.0,17.0,23,0.7,1.7
2023,47,10th & K St NW,133.0,136.0,3.0,23,0.1,0.8
2023,48,10th & K St NW,188.0,201.0,13.0,23,0.6,1.2
2023,49,10th & K St NW,195.0,237.0,42.0,23,1.8,1.2
2023,50,10th & K St NW,202.0,215.0,13.0,23,0.6,1.3
2023,51,10th & K St NW,181.0,186.0,5.0,23,0.2,1.1
2023,52,10th & K St NW,153.0,159.0,6.0,23,0.3,1.0
