YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,11th & O St NW,75.0,67.0,-8.0,23,-0.3,0.5
2021,2,11th & O St NW,112.0,96.0,-16.0,23,-0.7,0.7
2021,3,11th & O St NW,98.0,96.0,-2.0,23,-0.1,0.6
2021,4,11th & O St NW,65.0,57.0,-8.0,23,-0.3,0.4
2021,5,11th & O St NW,74.0,63.0,-11.0,23,-0.5,0.5
2021,6,11th & O St NW,88.0,79.0,-9.0,23,-0.4,0.5
2021,7,11th & O St NW,68.0,55.0,-13.0,23,-0.6,0.4
2021,8,11th & O St NW,87.0,103.0,16.0,23,0.7,0.5
2021,9,11th & O St NW,93.0,93.0,0.0,23,0.0,0.6
2021,10,11th & O St NW,124.0,115.0,-9.0,23,-0.4,0.8
2021,11,11th & O St NW,128.0,130.0,2.0,23,0.1,0.8
2021,12,11th & O St NW,160.0,145.0,-15.0,23,-0.7,1.0
2021,13,11th & O St NW,182.0,151.0,-31.0,23,-1.3,1.1
2021,14,11th & O St NW,153.0,153.0,0.0,23,0.0,1.0
2021,15,11th & O St NW,179.0,168.0,-11.0,23,-0.5,1.1
2021,16,11th & O St NW,151.0,142.0,-9.0,23,-0.4,0.9
2021,17,11th & O St NW,212.0,211.0,-1.0,23,-0.0,1.3
2021,18,11th & O St NW,165.0,154.0,-11.0,23,-0.5,1.0
2021,19,11th & O St NW,232.0,209.0,-23.0,23,-1.0,1.4
2021,20,11th & O St NW,228.0,211.0,-17.0,23,-0.7,1.4
2021,21,11th & O St NW,173.0,144.0,-29.0,23,-1.3,1.1
2021,22,11th & O St NW,206.0,188.0,-18.0,23,-0.8,1.3
2021,23,11th & O St NW,212.0,203.0,-9.0,23,-0.4,1.3
2021,24,11th & O St NW,233.0,215.0,-18.0,23,-0.8,1.4
2021,25,11th & O St NW,236.0,213.0,-23.0,23,-1.0,1.5
2021,26,11th & O St NW,227.0,220.0,-7.0,23,-0.3,1.4
2021,27,11th & O St NW,268.0,242.0,-26.0,23,-1.1,1.7
2021,28,11th & O St NW,271.0,217.0,-54.0,23,-2.3,1.7
2021,29,11th & O St NW,289.0,236.0,-53.0,23,-2.3,1.8
2021,30,11th & O St NW,278.0,246.0,-32.0,23,-1.4,1.7
2021,31,11th & O St NW,241.0,230.0,-11.0,23,-0.5,1.5
2021,32,11th & O St NW,203.0,183.0,-20.0,23,-0.9,1.3
2021,33,11th & O St NW,193.0,195.0,2.0,23,0.1,1.2
2021,34,11th & O St NW,258.0,255.0,-3.0,23,-0.1,1.6
2021,35,11th & O St NW,233.0,210.0,-23.0,23,-1.0,1.4
2021,36,11th & O St NW,272.0,260.0,-12.0,23,-0.5,1.7
2021,37,11th & O St NW,266.0,248.0,-18.0,23,-0.8,1.7
2021,38,11th & O St NW,270.0,238.0,-32.0,23,-1.4,1.7
2021,39,11th & O St NW,320.0,315.0,-5.0,23,-0.2,2.0
2021,40,11th & O St NW,306.0,277.0,-29.0,23,-1.3,1.9
2021,41,11th & O St NW,300.0,294.0,-6.0,23,-0.3,1.9
2021,42,11th & O St NW,311.0,307.0,-4.0,23,-0.2,1.9
2021,43,11th & O St NW,294.0,295.0,1.0,23,0.0,1.8
2021,44,11th & O St NW,295.0,277.0,-18.0,23,-0.8,1.8
2021,45,11th & O St NW,338.0,289.0,-49.0,23,-2.1,2.1
2021,46,11th & O St NW,302.0,244.0,-58.0,23,-2.5,1.9
2021,47,11th & O St NW,153.0,127.0,-26.0,23,-1.1,1.0
2021,48,11th & O St NW,269.0,215.0,-54.0,23,-2.3,1.7
2021,49,11th & O St NW,254.0,211.0,-43.0,23,-1.9,1.6
2021,50,11th & O St NW,241.0,195.0,-46.0,23,-2.0,1.5
2021,51,11th & O St NW,129.0,90.0,-39.0,23,-1.7,0.8
