YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,11th & S St NW,77.0,84.0,7.0,23,0.3,0.5
2021,2,11th & S St NW,109.0,120.0,11.0,23,0.5,0.7
2021,3,11th & S St NW,115.0,113.0,-2.0,23,-0.1,0.7
2021,4,11th & S St NW,67.0,74.0,7.0,23,0.3,0.4
2021,5,11th & S St NW,72.0,91.0,19.0,23,0.8,0.4
2021,6,11th & S St NW,65.0,78.0,13.0,23,0.6,0.4
2021,7,11th & S St NW,63.0,69.0,6.0,23,0.3,0.4
2021,8,11th & S St NW,77.0,80.0,3.0,23,0.1,0.5
2021,9,11th & S St NW,75.0,95.0,20.0,23,0.9,0.5
2021,10,11th & S St NW,144.0,149.0,5.0,23,0.2,0.9
2021,11,11th & S St NW,114.0,111.0,-3.0,23,-0.1,0.7
2021,12,11th & S St NW,129.0,121.0,-8.0,23,-0.3,0.8
2021,13,11th & S St NW,118.0,124.0,6.0,23,0.3,0.7
2021,14,11th & S St NW,185.0,182.0,-3.0,23,-0.1,1.1
2021,15,11th & S St NW,156.0,168.0,12.0,23,0.5,1.0
2021,16,11th & S St NW,149.0,159.0,10.0,23,0.4,0.9
2021,17,11th & S St NW,166.0,181.0,15.0,23,0.7,1.0
2021,18,11th & S St NW,150.0,145.0,-5.0,23,-0.2,0.9
2021,19,11th & S St NW,174.0,184.0,10.0,23,0.4,1.1
2021,20,11th & S St NW,213.0,200.0,-13.0,23,-0.6,1.3
2021,21,11th & S St NW,125.0,131.0,6.0,23,0.3,0.8
2021,22,11th & S St NW,189.0,198.0,9.0,23,0.4,1.2
2021,23,11th & S St NW,230.0,203.0,-27.0,23,-1.2,1.4
2021,24,11th & S St NW,262.0,245.0,-17.0,23,-0.7,1.6
2021,25,11th & S St NW,219.0,225.0,6.0,23,0.3,1.4
2021,26,11th & S St NW,201.0,204.0,3.0,23,0.1,1.2
2021,27,11th & S St NW,225.0,213.0,-12.0,23,-0.5,1.4
2021,28,11th & S St NW,226.0,219.0,-7.0,23,-0.3,1.4
2021,29,11th & S St NW,213.0,195.0,-18.0,23,-0.8,1.3
2021,30,11th & S St NW,164.0,171.0,7.0,23,0.3,1.0
2021,31,11th & S St NW,181.0,186.0,5.0,23,0.2,1.1
2021,32,11th & S St NW,200.0,197.0,-3.0,23,-0.1,1.2
2021,33,11th & S St NW,159.0,168.0,9.0,23,0.4,1.0
2021,34,11th & S St NW,224.0,215.0,-9.0,23,-0.4,1.4
2021,35,11th & S St NW,62.0,113.0,51.0,23,2.2,0.4
2021,36,11th & S St NW,221.0,258.0,37.0,23,1.6,1.4
2021,37,11th & S St NW,228.0,232.0,4.0,23,0.2,1.4
2021,38,11th & S St NW,235.0,244.0,9.0,23,0.4,1.5
2021,39,11th & S St NW,256.0,234.0,-22.0,23,-1.0,1.6
2021,40,11th & S St NW,239.0,222.0,-17.0,23,-0.7,1.5
2021,41,11th & S St NW,305.0,266.0,-39.0,23,-1.7,1.9
2021,42,11th & S St NW,292.0,267.0,-25.0,23,-1.1,1.8
2021,43,11th & S St NW,283.0,259.0,-24.0,23,-1.0,1.8
2021,44,11th & S St NW,263.0,224.0,-39.0,23,-1.7,1.6
2021,45,11th & S St NW,285.0,257.0,-28.0,23,-1.2,1.8
2021,46,11th & S St NW,233.0,212.0,-21.0,23,-0.9,1.4
2021,47,11th & S St NW,122.0,113.0,-9.0,23,-0.4,0.8
2021,48,11th & S St NW,244.0,204.0,-40.0,23,-1.7,1.5
2021,49,11th & S St NW,224.0,187.0,-37.0,23,-1.6,1.4
2021,50,11th & S St NW,215.0,189.0,-26.0,23,-1.1,1.3
2021,51,11th & S St NW,86.0,89.0,3.0,23,0.1,0.5
2021,52,11th & S St NW,75.0,63.0,-12.0,23,-0.5,0.5
2021,53,11th & S St NW,20.0,24.0,4.0,23,0.2,0.1
2022,1,11th & S St NW,60.0,55.0,-5.0,23,-0.2,0.4
2022,2,11th & S St NW,111.0,110.0,-1.0,23,-0.0,0.7
2022,3,11th & S St NW,108.0,105.0,-3.0,23,-0.1,0.7
2022,4,11th & S St NW,115.0,116.0,1.0,23,0.0,0.7
2022,5,11th & S St NW,121.0,127.0,6.0,23,0.3,0.8
2022,6,11th & S St NW,143.0,146.0,3.0,23,0.1,0.9
2022,7,11th & S St NW,145.0,134.0,-11.0,23,-0.5,0.9
2022,8,11th & S St NW,179.0,179.0,0.0,23,0.0,1.1
2022,9,11th & S St NW,213.0,195.0,-18.0,23,-0.8,1.3
2022,10,11th & S St NW,140.0,143.0,3.0,23,0.1,0.9
2022,11,11th & S St NW,212.0,186.0,-26.0,23,-1.1,1.3
2022,12,11th & S St NW,244.0,191.0,-53.0,23,-2.3,1.5
2022,13,11th & S St NW,236.0,209.0,-27.0,23,-1.2,1.5
2022,14,11th & S St NW,188.0,175.0,-13.0,23,-0.6,1.2
2022,15,11th & S St NW,238.0,217.0,-21.0,23,-0.9,1.5
2022,16,11th & S St NW,277.0,260.0,-17.0,23,-0.7,1.7
2022,17,11th & S St NW,290.0,265.0,-25.0,23,-1.1,1.8
2022,18,11th & S St NW,225.0,214.0,-11.0,23,-0.5,1.4
2022,19,11th & S St NW,293.0,282.0,-11.0,23,-0.5,1.8
2022,20,11th & S St NW,290.0,282.0,-8.0,23,-0.3,1.8
2022,21,11th & S St NW,278.0,271.0,-7.0,23,-0.3,1.7
2022,22,11th & S St NW,302.0,296.0,-6.0,23,-0.3,1.9
2022,23,11th & S St NW,364.0,344.0,-20.0,23,-0.9,2.3
2022,24,11th & S St NW,330.0,321.0,-9.0,23,-0.4,2.0
2022,25,11th & S St NW,323.0,310.0,-13.0,23,-0.6,2.0
2022,26,11th & S St NW,259.0,261.0,2.0,23,0.1,1.6
2022,27,11th & S St NW,258.0,256.0,-2.0,23,-0.1,1.6
2022,28,11th & S St NW,275.0,272.0,-3.0,23,-0.1,1.7
2022,29,11th & S St NW,270.0,252.0,-18.0,23,-0.8,1.7
2022,30,11th & S St NW,278.0,266.0,-12.0,23,-0.5,1.7
2022,31,11th & S St NW,273.0,279.0,6.0,23,0.3,1.7
2022,32,11th & S St NW,302.0,290.0,-12.0,23,-0.5,1.9
2022,33,11th & S St NW,295.0,286.0,-9.0,23,-0.4,1.8
2022,34,11th & S St NW,300.0,295.0,-5.0,23,-0.2,1.9
2022,35,11th & S St NW,239.0,242.0,3.0,23,0.1,1.5
2022,36,11th & S St NW,256.0,247.0,-9.0,23,-0.4,1.6
2022,37,11th & S St NW,305.0,300.0,-5.0,23,-0.2,1.9
2022,38,11th & S St NW,315.0,328.0,13.0,23,0.6,2.0
2022,39,11th & S St NW,240.0,239.0,-1.0,23,-0.0,1.5
2022,40,11th & S St NW,287.0,272.0,-15.0,23,-0.7,1.8
2022,41,11th & S St NW,288.0,279.0,-9.0,23,-0.4,1.8
2022,42,11th & S St NW,315.0,322.0,7.0,23,0.3,2.0
2022,43,11th & S St NW,313.0,296.0,-17.0,23,-0.7,1.9
2022,44,11th & S St NW,296.0,301.0,5.0,23,0.2,1.8
2022,45,11th & S St NW,260.0,271.0,11.0,23,0.5,1.6
2022,46,11th & S St NW,206.0,199.0,-7.0,23,-0.3,1.3
2022,47,11th & S St NW,112.0,102.0,-10.0,23,-0.4,0.7
2022,48,11th & S St NW,182.0,188.0,6.0,23,0.3,1.1
2022,49,11th & S St NW,224.0,199.0,-25.0,23,-1.1,1.4
2022,50,11th & S St NW,179.0,180.0,1.0,23,0.0,1.1
2022,51,11th & S St NW,92.0,93.0,1.0,23,0.0,0.6
2022,52,11th & S St NW,105.0,114.0,9.0,23,0.4,0.7
2023,1,11th & S St NW,207.0,212.0,5.0,23,0.2,1.3
2023,2,11th & S St NW,214.0,197.0,-17.0,23,-0.7,1.3
2023,3,11th & S St NW,185.0,190.0,5.0,23,0.2,1.1
2023,4,11th & S St NW,194.0,195.0,1.0,23,0.0,1.2
2023,5,11th & S St NW,156.0,164.0,8.0,23,0.3,1.0
2023,6,11th & S St NW,221.0,211.0,-10.0,23,-0.4,1.4
2023,7,11th & S St NW,181.0,180.0,-1.0,23,-0.0,1.1
2023,8,11th & S St NW,240.0,239.0,-1.0,23,-0.0,1.5
2023,9,11th & S St NW,264.0,216.0,-48.0,23,-2.1,1.6
2023,10,11th & S St NW,220.0,187.0,-33.0,23,-1.4,1.4
2023,11,11th & S St NW,224.0,198.0,-26.0,23,-1.1,1.4
2023,12,11th & S St NW,265.0,246.0,-19.0,23,-0.8,1.6
2023,13,11th & S St NW,311.0,310.0,-1.0,23,-0.0,1.9
2023,14,11th & S St NW,333.0,328.0,-5.0,23,-0.2,2.1
2023,15,11th & S St NW,162.0,168.0,6.0,23,0.3,1.0
2023,16,11th & S St NW,188.0,183.0,-5.0,23,-0.2,1.2
2023,17,11th & S St NW,279.0,280.0,1.0,23,0.0,1.7
2023,18,11th & S St NW,291.0,286.0,-5.0,23,-0.2,1.8
2023,19,11th & S St NW,249.0,243.0,-6.0,23,-0.3,1.5
2023,20,11th & S St NW,353.0,340.0,-13.0,23,-0.6,2.2
2023,21,11th & S St NW,283.0,288.0,5.0,23,0.2,1.8
2023,22,11th & S St NW,311.0,309.0,-2.0,23,-0.1,1.9
2023,23,11th & S St NW,383.0,339.0,-44.0,23,-1.9,2.4
2023,24,11th & S St NW,303.0,289.0,-14.0,23,-0.6,1.9
2023,25,11th & S St NW,294.0,261.0,-33.0,23,-1.4,1.8
2023,26,11th & S St NW,282.0,250.0,-32.0,23,-1.4,1.8
2023,27,11th & S St NW,331.0,278.0,-53.0,23,-2.3,2.1
