YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,M St & New Jersey Ave SE,52.0,63.0,11.0,17,0.6,0.4
2021,2,M St & New Jersey Ave SE,42.0,59.0,17.0,17,1.0,0.4
2021,3,M St & New Jersey Ave SE,43.0,58.0,15.0,17,0.9,0.4
2021,4,M St & New Jersey Ave SE,42.0,45.0,3.0,17,0.2,0.4
2021,5,M St & New Jersey Ave SE,45.0,56.0,11.0,17,0.6,0.4
2021,6,M St & New Jersey Ave SE,38.0,45.0,7.0,17,0.4,0.3
2021,7,M St & New Jersey Ave SE,16.0,30.0,14.0,17,0.8,0.1
2021,8,M St & New Jersey Ave SE,53.0,52.0,-1.0,17,-0.1,0.4
2021,9,M St & New Jersey Ave SE,36.0,56.0,20.0,17,1.2,0.3
2021,10,M St & New Jersey Ave SE,59.0,81.0,22.0,17,1.3,0.5
2021,11,M St & New Jersey Ave SE,51.0,78.0,27.0,17,1.6,0.4
2021,12,M St & New Jersey Ave SE,61.0,90.0,29.0,17,1.7,0.5
2021,13,M St & New Jersey Ave SE,78.0,88.0,10.0,17,0.6,0.7
2021,14,M St & New Jersey Ave SE,67.0,68.0,1.0,17,0.1,0.6
2021,15,M St & New Jersey Ave SE,74.0,86.0,12.0,17,0.7,0.6
2021,16,M St & New Jersey Ave SE,79.0,89.0,10.0,17,0.6,0.7
2021,17,M St & New Jersey Ave SE,69.0,97.0,28.0,17,1.6,0.6
2021,18,M St & New Jersey Ave SE,84.0,109.0,25.0,17,1.5,0.7
2021,19,M St & New Jersey Ave SE,136.0,161.0,25.0,17,1.5,1.1
2021,20,M St & New Jersey Ave SE,109.0,119.0,10.0,17,0.6,0.9
2021,21,M St & New Jersey Ave SE,70.0,80.0,10.0,17,0.6,0.6
2021,22,M St & New Jersey Ave SE,112.0,149.0,37.0,17,2.2,0.9
2021,23,M St & New Jersey Ave SE,88.0,93.0,5.0,17,0.3,0.7
2021,24,M St & New Jersey Ave SE,132.0,133.0,1.0,17,0.1,1.1
2021,25,M St & New Jersey Ave SE,103.0,123.0,20.0,17,1.2,0.9
2021,26,M St & New Jersey Ave SE,171.0,177.0,6.0,17,0.4,1.4
2021,27,M St & New Jersey Ave SE,102.0,139.0,37.0,17,2.2,0.9
2021,28,M St & New Jersey Ave SE,143.0,179.0,36.0,17,2.1,1.2
2021,29,M St & New Jersey Ave SE,118.0,172.0,54.0,17,3.2,1.0
2021,30,M St & New Jersey Ave SE,119.0,150.0,31.0,17,1.8,1.0
2021,31,M St & New Jersey Ave SE,170.0,214.0,44.0,17,2.6,1.4
2021,32,M St & New Jersey Ave SE,104.0,132.0,28.0,17,1.6,0.9
2021,33,M St & New Jersey Ave SE,98.0,123.0,25.0,17,1.5,0.8
2021,34,M St & New Jersey Ave SE,104.0,167.0,63.0,17,3.7,0.9
2021,35,M St & New Jersey Ave SE,124.0,160.0,36.0,17,2.1,1.0
2021,36,M St & New Jersey Ave SE,123.0,162.0,39.0,17,2.3,1.0
2021,37,M St & New Jersey Ave SE,153.0,206.0,53.0,17,3.1,1.3
2021,38,M St & New Jersey Ave SE,127.0,164.0,37.0,17,2.2,1.1
2021,39,M St & New Jersey Ave SE,158.0,194.0,36.0,17,2.1,1.3
2021,40,M St & New Jersey Ave SE,130.0,163.0,33.0,17,1.9,1.1
2021,41,M St & New Jersey Ave SE,136.0,170.0,34.0,17,2.0,1.1
2021,42,M St & New Jersey Ave SE,150.0,191.0,41.0,17,2.4,1.3
2021,43,M St & New Jersey Ave SE,139.0,184.0,45.0,17,2.6,1.2
2021,44,M St & New Jersey Ave SE,100.0,145.0,45.0,17,2.6,0.8
2021,45,M St & New Jersey Ave SE,129.0,163.0,34.0,17,2.0,1.1
2021,46,M St & New Jersey Ave SE,79.0,103.0,24.0,17,1.4,0.7
2021,47,M St & New Jersey Ave SE,56.0,78.0,22.0,17,1.3,0.5
2021,48,M St & New Jersey Ave SE,97.0,106.0,9.0,17,0.5,0.8
2021,49,M St & New Jersey Ave SE,77.0,80.0,3.0,17,0.2,0.6
2021,50,M St & New Jersey Ave SE,92.0,97.0,5.0,17,0.3,0.8
2021,51,M St & New Jersey Ave SE,68.0,67.0,-1.0,17,-0.1,0.6
2021,52,M St & New Jersey Ave SE,40.0,50.0,10.0,17,0.6,0.3
2021,53,M St & New Jersey Ave SE,17.0,15.0,-2.0,17,-0.1,0.1
2022,1,M St & New Jersey Ave SE,27.0,31.0,4.0,17,0.2,0.2
2022,2,M St & New Jersey Ave SE,37.0,44.0,7.0,17,0.4,0.3
2022,3,M St & New Jersey Ave SE,54.0,50.0,-4.0,17,-0.2,0.5
2022,4,M St & New Jersey Ave SE,39.0,47.0,8.0,17,0.5,0.3
2022,5,M St & New Jersey Ave SE,47.0,50.0,3.0,17,0.2,0.4
2022,6,M St & New Jersey Ave SE,66.0,69.0,3.0,17,0.2,0.6
2022,7,M St & New Jersey Ave SE,53.0,50.0,-3.0,17,-0.2,0.4
2022,8,M St & New Jersey Ave SE,44.0,49.0,5.0,17,0.3,0.4
2022,9,M St & New Jersey Ave SE,69.0,96.0,27.0,17,1.6,0.6
2022,10,M St & New Jersey Ave SE,62.0,88.0,26.0,17,1.5,0.5
2022,11,M St & New Jersey Ave SE,101.0,128.0,27.0,17,1.6,0.8
2022,12,M St & New Jersey Ave SE,116.0,101.0,-15.0,17,-0.9,1.0
2022,13,M St & New Jersey Ave SE,100.0,115.0,15.0,17,0.9,0.8
2022,14,M St & New Jersey Ave SE,104.0,98.0,-6.0,17,-0.4,0.9
2022,15,M St & New Jersey Ave SE,87.0,88.0,1.0,17,0.1,0.7
2022,16,M St & New Jersey Ave SE,146.0,183.0,37.0,17,2.2,1.2
2022,17,M St & New Jersey Ave SE,113.0,154.0,41.0,17,2.4,0.9
2022,18,M St & New Jersey Ave SE,84.0,141.0,57.0,17,3.4,0.7
2022,19,M St & New Jersey Ave SE,163.0,207.0,44.0,17,2.6,1.4
2022,20,M St & New Jersey Ave SE,171.0,200.0,29.0,17,1.7,1.4
2022,21,M St & New Jersey Ave SE,181.0,209.0,28.0,17,1.6,1.5
2022,22,M St & New Jersey Ave SE,165.0,199.0,34.0,17,2.0,1.4
2022,23,M St & New Jersey Ave SE,159.0,172.0,13.0,17,0.8,1.3
2022,24,M St & New Jersey Ave SE,165.0,179.0,14.0,17,0.8,1.4
2022,25,M St & New Jersey Ave SE,165.0,187.0,22.0,17,1.3,1.4
2022,26,M St & New Jersey Ave SE,170.0,200.0,30.0,17,1.8,1.4
2022,27,M St & New Jersey Ave SE,149.0,176.0,27.0,17,1.6,1.3
2022,28,M St & New Jersey Ave SE,188.0,220.0,32.0,17,1.9,1.6
2022,29,M St & New Jersey Ave SE,142.0,167.0,25.0,17,1.5,1.2
2022,30,M St & New Jersey Ave SE,196.0,220.0,24.0,17,1.4,1.6
2022,31,M St & New Jersey Ave SE,139.0,166.0,27.0,17,1.6,1.2
