YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2022,33,10th St & Rhode Island Ave NE,6.0,6.0,0.0,19,0.0,0.0
2022,34,10th St & Rhode Island Ave NE,23.0,28.0,5.0,19,0.3,0.2
2022,35,10th St & Rhode Island Ave NE,30.0,26.0,-4.0,19,-0.2,0.2
2022,36,10th St & Rhode Island Ave NE,23.0,25.0,2.0,19,0.1,0.2
2022,37,10th St & Rhode Island Ave NE,49.0,45.0,-4.0,19,-0.2,0.4
2022,38,10th St & Rhode Island Ave NE,34.0,35.0,1.0,19,0.1,0.3
2022,39,10th St & Rhode Island Ave NE,15.0,16.0,1.0,19,0.1,0.1
2022,40,10th St & Rhode Island Ave NE,17.0,17.0,0.0,19,0.0,0.1
2022,41,10th St & Rhode Island Ave NE,28.0,29.0,1.0,19,0.1,0.2
2022,42,10th St & Rhode Island Ave NE,23.0,27.0,4.0,19,0.2,0.2
2022,43,10th St & Rhode Island Ave NE,28.0,27.0,-1.0,19,-0.1,0.2
2022,44,10th St & Rhode Island Ave NE,22.0,23.0,1.0,19,0.1,0.2
2022,45,10th St & Rhode Island Ave NE,25.0,28.0,3.0,19,0.2,0.2
2022,46,10th St & Rhode Island Ave NE,18.0,17.0,-1.0,19,-0.1,0.1
2022,47,10th St & Rhode Island Ave NE,12.0,12.0,0.0,19,0.0,0.1
2022,48,10th St & Rhode Island Ave NE,9.0,17.0,8.0,19,0.4,0.1
2022,49,10th St & Rhode Island Ave NE,19.0,13.0,-6.0,19,-0.3,0.1
2022,50,10th St & Rhode Island Ave NE,17.0,14.0,-3.0,19,-0.2,0.1
2022,51,10th St & Rhode Island Ave NE,9.0,13.0,4.0,19,0.2,0.1
2022,52,10th St & Rhode Island Ave NE,11.0,7.0,-4.0,19,-0.2,0.1
2023,1,10th St & Rhode Island Ave NE,20.0,20.0,0.0,19,0.0,0.2
2023,2,10th St & Rhode Island Ave NE,7.0,8.0,1.0,19,0.1,0.1
