YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2023,8,12th & Varnum St NE,3.0,5.0,2.0,15,0.1,0.0
2023,9,12th & Varnum St NE,7.0,7.0,0.0,15,0.0,0.1
2023,10,12th & Varnum St NE,3.0,9.0,6.0,15,0.4,0.0
2023,11,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.0
2023,12,12th & Varnum St NE,9.0,11.0,2.0,15,0.1,0.1
2023,13,12th & Varnum St NE,18.0,10.0,-8.0,15,-0.5,0.2
2023,14,12th & Varnum St NE,13.0,14.0,1.0,15,0.1,0.1
2023,15,12th & Varnum St NE,11.0,10.0,-1.0,15,-0.1,0.1
2023,16,12th & Varnum St NE,8.0,7.0,-1.0,15,-0.1,0.1
2023,17,12th & Varnum St NE,2.0,5.0,3.0,15,0.2,0.0
2023,18,12th & Varnum St NE,5.0,7.0,2.0,15,0.1,0.0
2023,19,12th & Varnum St NE,13.0,13.0,0.0,15,0.0,0.1
2023,20,12th & Varnum St NE,26.0,17.0,-9.0,15,-0.6,0.2
2023,21,12th & Varnum St NE,22.0,15.0,-7.0,15,-0.5,0.2
2023,22,12th & Varnum St NE,10.0,9.0,-1.0,15,-0.1,0.1
2023,23,12th & Varnum St NE,25.0,17.0,-8.0,15,-0.5,0.2
2023,24,12th & Varnum St NE,21.0,14.0,-7.0,15,-0.5,0.2
2023,25,12th & Varnum St NE,11.0,12.0,1.0,15,0.1,0.1
2023,26,12th & Varnum St NE,12.0,11.0,-1.0,15,-0.1,0.1
2023,27,12th & Varnum St NE,20.0,14.0,-6.0,15,-0.4,0.2
2023,28,12th & Varnum St NE,25.0,20.0,-5.0,15,-0.3,0.2
2023,29,12th & Varnum St NE,27.0,22.0,-5.0,15,-0.3,0.3
2023,30,12th & Varnum St NE,12.0,11.0,-1.0,15,-0.1,0.1
2023,31,12th & Varnum St NE,21.0,16.0,-5.0,15,-0.3,0.2
2023,32,12th & Varnum St NE,11.0,13.0,2.0,15,0.1,0.1
2023,33,12th & Varnum St NE,12.0,15.0,3.0,15,0.2,0.1
2023,34,12th & Varnum St NE,18.0,22.0,4.0,15,0.3,0.2
2023,35,12th & Varnum St NE,23.0,16.0,-7.0,15,-0.5,0.2
2023,36,12th & Varnum St NE,19.0,25.0,6.0,15,0.4,0.2
2023,37,12th & Varnum St NE,31.0,29.0,-2.0,15,-0.1,0.3
2023,38,12th & Varnum St NE,26.0,27.0,1.0,15,0.1,0.2
2023,39,12th & Varnum St NE,18.0,23.0,5.0,15,0.3,0.2
2023,40,12th & Varnum St NE,27.0,30.0,3.0,15,0.2,0.3
2023,41,12th & Varnum St NE,28.0,26.0,-2.0,15,-0.1,0.3
2023,42,12th & Varnum St NE,20.0,17.0,-3.0,15,-0.2,0.2
2023,43,12th & Varnum St NE,28.0,30.0,2.0,15,0.1,0.3
2023,44,12th & Varnum St NE,20.0,19.0,-1.0,15,-0.1,0.2
2023,45,12th & Varnum St NE,18.0,17.0,-1.0,15,-0.1,0.2
2023,46,12th & Varnum St NE,18.0,21.0,3.0,15,0.2,0.2
2023,47,12th & Varnum St NE,7.0,8.0,1.0,15,0.1,0.1
2023,48,12th & Varnum St NE,10.0,15.0,5.0,15,0.3,0.1
2023,49,12th & Varnum St NE,16.0,12.0,-4.0,15,-0.3,0.2
2023,50,12th & Varnum St NE,12.0,13.0,1.0,15,0.1,0.1
2023,51,12th & Varnum St NE,12.0,10.0,-2.0,15,-0.1,0.1
2023,52,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.0
