YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,48,10th & H St NE,85.0,94.0,9.0,19,0.5,0.6
2021,49,10th & H St NE,99.0,102.0,3.0,19,0.2,0.7
2021,50,10th & H St NE,103.0,103.0,0.0,19,0.0,0.8
2021,51,10th & H St NE,37.0,48.0,11.0,19,0.6,0.3
2021,52,10th & H St NE,47.0,45.0,-2.0,19,-0.1,0.4
2022,1,10th & H St NE,49.0,47.0,-2.0,19,-0.1,0.4
2022,2,10th & H St NE,81.0,80.0,-1.0,19,-0.1,0.6
2022,3,10th & H St NE,54.0,67.0,13.0,19,0.7,0.4
2022,4,10th & H St NE,62.0,72.0,10.0,19,0.5,0.5
2022,5,10th & H St NE,70.0,78.0,8.0,19,0.4,0.5
2022,6,10th & H St NE,90.0,90.0,0.0,19,0.0,0.7
2022,7,10th & H St NE,75.0,80.0,5.0,19,0.3,0.6
2022,8,10th & H St NE,76.0,67.0,-9.0,19,-0.5,0.6
2022,9,10th & H St NE,90.0,94.0,4.0,19,0.2,0.7
2022,10,10th & H St NE,69.0,65.0,-4.0,19,-0.2,0.5
2022,11,10th & H St NE,114.0,126.0,12.0,19,0.6,0.9
2022,12,10th & H St NE,113.0,120.0,7.0,19,0.4,0.8
2022,13,10th & H St NE,130.0,137.0,7.0,19,0.4,1.0
2022,14,10th & H St NE,107.0,123.0,16.0,19,0.8,0.8
2022,15,10th & H St NE,141.0,149.0,8.0,19,0.4,1.1
2022,16,10th & H St NE,117.0,122.0,5.0,19,0.3,0.9
2022,17,10th & H St NE,125.0,131.0,6.0,19,0.3,0.9
2022,18,10th & H St NE,81.0,86.0,5.0,19,0.3,0.6
2022,19,10th & H St NE,132.0,140.0,8.0,19,0.4,1.0
2022,20,10th & H St NE,160.0,179.0,19.0,19,1.0,1.2
2022,21,10th & H St NE,132.0,133.0,1.0,19,0.1,1.0
2022,22,10th & H St NE,141.0,148.0,7.0,19,0.4,1.1
2022,23,10th & H St NE,187.0,178.0,-9.0,19,-0.5,1.4
2022,24,10th & H St NE,161.0,175.0,14.0,19,0.7,1.2
2022,25,10th & H St NE,185.0,217.0,32.0,19,1.7,1.4
2022,26,10th & H St NE,193.0,187.0,-6.0,19,-0.3,1.5
2022,27,10th & H St NE,171.0,178.0,7.0,19,0.4,1.3
2022,28,10th & H St NE,144.0,155.0,11.0,19,0.6,1.1
2022,29,10th & H St NE,155.0,166.0,11.0,19,0.6,1.2
2022,30,10th & H St NE,170.0,178.0,8.0,19,0.4,1.3
2022,31,10th & H St NE,150.0,146.0,-4.0,19,-0.2,1.1
2022,32,10th & H St NE,146.0,172.0,26.0,19,1.4,1.1
2022,33,10th & H St NE,172.0,182.0,10.0,19,0.5,1.3
2022,34,10th & H St NE,122.0,146.0,24.0,19,1.3,0.9
2022,35,10th & H St NE,156.0,182.0,26.0,19,1.4,1.2
2022,36,10th & H St NE,136.0,168.0,32.0,19,1.7,1.0
2022,37,10th & H St NE,197.0,222.0,25.0,19,1.3,1.5
2022,38,10th & H St NE,150.0,177.0,27.0,19,1.4,1.1
2022,39,10th & H St NE,137.0,150.0,13.0,19,0.7,1.0
2022,40,10th & H St NE,128.0,148.0,20.0,19,1.1,1.0
2022,41,10th & H St NE,167.0,177.0,10.0,19,0.5,1.3
