YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,10th & U St NW,70.0,63.0,-7.0,19,-0.4,0.5
2021,2,10th & U St NW,86.0,93.0,7.0,19,0.4,0.6
2021,3,10th & U St NW,74.0,86.0,12.0,19,0.6,0.6
2021,4,10th & U St NW,68.0,59.0,-9.0,19,-0.5,0.5
2021,5,10th & U St NW,79.0,75.0,-4.0,19,-0.2,0.6
2021,6,10th & U St NW,59.0,52.0,-7.0,19,-0.4,0.4
2021,7,10th & U St NW,52.0,66.0,14.0,19,0.7,0.4
2021,8,10th & U St NW,89.0,85.0,-4.0,19,-0.2,0.7
2021,9,10th & U St NW,88.0,103.0,15.0,19,0.8,0.7
2021,10,10th & U St NW,114.0,110.0,-4.0,19,-0.2,0.9
2021,11,10th & U St NW,94.0,101.0,7.0,19,0.4,0.7
2021,12,10th & U St NW,110.0,117.0,7.0,19,0.4,0.8
2021,13,10th & U St NW,149.0,140.0,-9.0,19,-0.5,1.1
2021,14,10th & U St NW,148.0,153.0,5.0,19,0.3,1.1
2021,15,10th & U St NW,155.0,160.0,5.0,19,0.3,1.2
2021,16,10th & U St NW,126.0,127.0,1.0,19,0.1,0.9
2021,17,10th & U St NW,149.0,140.0,-9.0,19,-0.5,1.1
2021,18,10th & U St NW,164.0,180.0,16.0,19,0.8,1.2
2021,19,10th & U St NW,216.0,235.0,19.0,19,1.0,1.6
2021,20,10th & U St NW,220.0,212.0,-8.0,19,-0.4,1.7
2021,21,10th & U St NW,129.0,127.0,-2.0,19,-0.1,1.0
2021,22,10th & U St NW,189.0,188.0,-1.0,19,-0.1,1.4
2021,23,10th & U St NW,209.0,209.0,0.0,19,0.0,1.6
2021,24,10th & U St NW,209.0,213.0,4.0,19,0.2,1.6
2021,25,10th & U St NW,173.0,183.0,10.0,19,0.5,1.3
2021,26,10th & U St NW,180.0,169.0,-11.0,19,-0.6,1.4
2021,27,10th & U St NW,205.0,200.0,-5.0,19,-0.3,1.5
2021,28,10th & U St NW,211.0,217.0,6.0,19,0.3,1.6
2021,29,10th & U St NW,210.0,217.0,7.0,19,0.4,1.6
2021,30,10th & U St NW,245.0,244.0,-1.0,19,-0.1,1.8
2021,31,10th & U St NW,199.0,193.0,-6.0,19,-0.3,1.5
2021,32,10th & U St NW,176.0,174.0,-2.0,19,-0.1,1.3
2021,33,10th & U St NW,181.0,186.0,5.0,19,0.3,1.4
2021,34,10th & U St NW,207.0,203.0,-4.0,19,-0.2,1.6
2021,35,10th & U St NW,204.0,203.0,-1.0,19,-0.1,1.5
2021,36,10th & U St NW,248.0,242.0,-6.0,19,-0.3,1.9
2021,37,10th & U St NW,238.0,231.0,-7.0,19,-0.4,1.8
2021,38,10th & U St NW,218.0,219.0,1.0,19,0.1,1.6
2021,39,10th & U St NW,238.0,230.0,-8.0,19,-0.4,1.8
2021,40,10th & U St NW,186.0,188.0,2.0,19,0.1,1.4
2021,41,10th & U St NW,176.0,188.0,12.0,19,0.6,1.3
2021,42,10th & U St NW,170.0,181.0,11.0,19,0.6,1.3
2021,43,10th & U St NW,135.0,125.0,-10.0,19,-0.5,1.0
2021,44,10th & U St NW,136.0,127.0,-9.0,19,-0.5,1.0
2021,45,10th & U St NW,184.0,132.0,-52.0,19,-2.7,1.4
2021,46,10th & U St NW,131.0,128.0,-3.0,19,-0.2,1.0
2021,47,10th & U St NW,77.0,72.0,-5.0,19,-0.3,0.6
2021,48,10th & U St NW,140.0,136.0,-4.0,19,-0.2,1.1
2021,49,10th & U St NW,118.0,124.0,6.0,19,0.3,0.9
2021,50,10th & U St NW,124.0,124.0,0.0,19,0.0,0.9
2021,51,10th & U St NW,43.0,50.0,7.0,19,0.4,0.3
2021,52,10th & U St NW,55.0,58.0,3.0,19,0.2,0.4
2021,53,10th & U St NW,29.0,36.0,7.0,19,0.4,0.2
2022,1,10th & U St NW,47.0,47.0,0.0,19,0.0,0.4
2022,2,10th & U St NW,77.0,85.0,8.0,19,0.4,0.6
2022,3,10th & U St NW,74.0,67.0,-7.0,19,-0.4,0.6
2022,4,10th & U St NW,76.0,76.0,0.0,19,0.0,0.6
2022,5,10th & U St NW,83.0,85.0,2.0,19,0.1,0.6
2022,6,10th & U St NW,102.0,106.0,4.0,19,0.2,0.8
2022,7,10th & U St NW,84.0,89.0,5.0,19,0.3,0.6
2022,8,10th & U St NW,92.0,90.0,-2.0,19,-0.1,0.7
2022,9,10th & U St NW,113.0,113.0,0.0,19,0.0,0.8
2022,10,10th & U St NW,102.0,106.0,4.0,19,0.2,0.8
2022,11,10th & U St NW,126.0,138.0,12.0,19,0.6,0.9
2022,12,10th & U St NW,138.0,134.0,-4.0,19,-0.2,1.0
2022,13,10th & U St NW,124.0,118.0,-6.0,19,-0.3,0.9
2022,14,10th & U St NW,126.0,133.0,7.0,19,0.4,0.9
2022,15,10th & U St NW,182.0,176.0,-6.0,19,-0.3,1.4
2022,16,10th & U St NW,182.0,175.0,-7.0,19,-0.4,1.4
2022,17,10th & U St NW,163.0,159.0,-4.0,19,-0.2,1.2
2022,18,10th & U St NW,128.0,137.0,9.0,19,0.5,1.0
2022,19,10th & U St NW,184.0,183.0,-1.0,19,-0.1,1.4
2022,20,10th & U St NW,174.0,169.0,-5.0,19,-0.3,1.3
2022,21,10th & U St NW,177.0,186.0,9.0,19,0.5,1.3
2022,22,10th & U St NW,175.0,159.0,-16.0,19,-0.8,1.3
2022,23,10th & U St NW,209.0,212.0,3.0,19,0.2,1.6
2022,24,10th & U St NW,194.0,200.0,6.0,19,0.3,1.5
2022,25,10th & U St NW,181.0,189.0,8.0,19,0.4,1.4
2022,26,10th & U St NW,211.0,203.0,-8.0,19,-0.4,1.6
2022,27,10th & U St NW,179.0,174.0,-5.0,19,-0.3,1.3
2022,28,10th & U St NW,162.0,160.0,-2.0,19,-0.1,1.2
2022,29,10th & U St NW,167.0,174.0,7.0,19,0.4,1.3
2022,30,10th & U St NW,167.0,158.0,-9.0,19,-0.5,1.3
2022,31,10th & U St NW,161.0,155.0,-6.0,19,-0.3,1.2
2022,32,10th & U St NW,172.0,171.0,-1.0,19,-0.1,1.3
2022,33,10th & U St NW,176.0,173.0,-3.0,19,-0.2,1.3
2022,34,10th & U St NW,155.0,156.0,1.0,19,0.1,1.2
2022,35,10th & U St NW,148.0,152.0,4.0,19,0.2,1.1
2022,36,10th & U St NW,188.0,189.0,1.0,19,0.1,1.4
2022,37,10th & U St NW,241.0,228.0,-13.0,19,-0.7,1.8
2022,38,10th & U St NW,186.0,188.0,2.0,19,0.1,1.4
2022,39,10th & U St NW,157.0,165.0,8.0,19,0.4,1.2
2022,40,10th & U St NW,168.0,165.0,-3.0,19,-0.2,1.3
2022,41,10th & U St NW,189.0,173.0,-16.0,19,-0.8,1.4
2022,42,10th & U St NW,170.0,178.0,8.0,19,0.4,1.3
2022,43,10th & U St NW,171.0,170.0,-1.0,19,-0.1,1.3
2022,44,10th & U St NW,158.0,153.0,-5.0,19,-0.3,1.2
2022,45,10th & U St NW,148.0,148.0,0.0,19,0.0,1.1
2022,46,10th & U St NW,103.0,99.0,-4.0,19,-0.2,0.8
2022,47,10th & U St NW,86.0,93.0,7.0,19,0.4,0.6
2022,48,10th & U St NW,122.0,126.0,4.0,19,0.2,0.9
2022,49,10th & U St NW,126.0,122.0,-4.0,19,-0.2,0.9
2022,50,10th & U St NW,98.0,100.0,2.0,19,0.1,0.7
2022,51,10th & U St NW,41.0,44.0,3.0,19,0.2,0.3
2022,52,10th & U St NW,68.0,86.0,18.0,19,0.9,0.5
2023,1,10th & U St NW,103.0,103.0,0.0,19,0.0,0.8
2023,2,10th & U St NW,73.0,78.0,5.0,19,0.3,0.5
2023,3,10th & U St NW,91.0,95.0,4.0,19,0.2,0.7
2023,4,10th & U St NW,101.0,100.0,-1.0,19,-0.1,0.8
2023,5,10th & U St NW,75.0,73.0,-2.0,19,-0.1,0.6
2023,6,10th & U St NW,112.0,113.0,1.0,19,0.1,0.8
2023,7,10th & U St NW,104.0,106.0,2.0,19,0.1,0.8
2023,8,10th & U St NW,112.0,114.0,2.0,19,0.1,0.8
2023,9,10th & U St NW,117.0,112.0,-5.0,19,-0.3,0.9
2023,10,10th & U St NW,99.0,112.0,13.0,19,0.7,0.7
2023,11,10th & U St NW,104.0,110.0,6.0,19,0.3,0.8
2023,12,10th & U St NW,137.0,143.0,6.0,19,0.3,1.0
2023,13,10th & U St NW,177.0,169.0,-8.0,19,-0.4,1.3
2023,14,10th & U St NW,169.0,174.0,5.0,19,0.3,1.3
2023,15,10th & U St NW,224.0,221.0,-3.0,19,-0.2,1.7
2023,16,10th & U St NW,174.0,190.0,16.0,19,0.8,1.3
2023,17,10th & U St NW,153.0,151.0,-2.0,19,-0.1,1.2
2023,18,10th & U St NW,149.0,150.0,1.0,19,0.1,1.1
2023,19,10th & U St NW,189.0,193.0,4.0,19,0.2,1.4
2023,20,10th & U St NW,203.0,201.0,-2.0,19,-0.1,1.5
2023,21,10th & U St NW,196.0,192.0,-4.0,19,-0.2,1.5
2023,22,10th & U St NW,193.0,192.0,-1.0,19,-0.1,1.5
2023,23,10th & U St NW,217.0,216.0,-1.0,19,-0.1,1.6
2023,24,10th & U St NW,205.0,209.0,4.0,19,0.2,1.5
2023,25,10th & U St NW,164.0,163.0,-1.0,19,-0.1,1.2
2023,26,10th & U St NW,170.0,172.0,2.0,19,0.1,1.3
2023,27,10th & U St NW,180.0,181.0,1.0,19,0.1,1.4
2023,28,10th & U St NW,156.0,170.0,14.0,19,0.7,1.2
2023,29,10th & U St NW,211.0,202.0,-9.0,19,-0.5,1.6
2023,30,10th & U St NW,190.0,198.0,8.0,19,0.4,1.4
2023,31,10th & U St NW,220.0,231.0,11.0,19,0.6,1.7
2023,32,10th & U St NW,171.0,182.0,11.0,19,0.6,1.3
2023,33,10th & U St NW,183.0,193.0,10.0,19,0.5,1.4
2023,34,10th & U St NW,190.0,199.0,9.0,19,0.5,1.4
2023,35,10th & U St NW,184.0,178.0,-6.0,19,-0.3,1.4
2023,36,10th & U St NW,196.0,198.0,2.0,19,0.1,1.5
2023,37,10th & U St NW,216.0,209.0,-7.0,19,-0.4,1.6
2023,38,10th & U St NW,103.0,104.0,1.0,19,0.1,0.8
2023,39,10th & U St NW,196.0,193.0,-3.0,19,-0.2,1.5
2023,40,10th & U St NW,187.0,198.0,11.0,19,0.6,1.4
2023,41,10th & U St NW,196.0,167.0,-29.0,19,-1.5,1.5
2023,42,10th & U St NW,261.0,250.0,-11.0,19,-0.6,2.0
2023,43,10th & U St NW,262.0,269.0,7.0,19,0.4,2.0
2023,44,10th & U St NW,214.0,211.0,-3.0,19,-0.2,1.6
2023,45,10th & U St NW,205.0,204.0,-1.0,19,-0.1,1.5
2023,46,10th & U St NW,210.0,211.0,1.0,19,0.1,1.6
2023,47,10th & U St NW,80.0,85.0,5.0,19,0.3,0.6
2023,48,10th & U St NW,186.0,187.0,1.0,19,0.1,1.4
2023,49,10th & U St NW,161.0,160.0,-1.0,19,-0.1,1.2
2023,50,10th & U St NW,167.0,168.0,1.0,19,0.1,1.3
2023,51,10th & U St NW,112.0,117.0,5.0,19,0.3,0.8
2023,52,10th & U St NW,89.0,101.0,12.0,19,0.6,0.7
