YEAR,WEEK,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021,1,11th & M St NW,170.0,154.0,-16.0,23,-0.7,1.1
2021,2,11th & M St NW,211.0,195.0,-16.0,23,-0.7,1.3
2021,3,11th & M St NW,214.0,190.0,-24.0,23,-1.0,1.3
2021,4,11th & M St NW,171.0,150.0,-21.0,23,-0.9,1.1
2021,5,11th & M St NW,184.0,168.0,-16.0,23,-0.7,1.1
2021,6,11th & M St NW,161.0,127.0,-34.0,23,-1.5,1.0
2021,7,11th & M St NW,171.0,131.0,-40.0,23,-1.7,1.1
2021,8,11th & M St NW,199.0,171.0,-28.0,23,-1.2,1.2
2021,9,11th & M St NW,211.0,165.0,-46.0,23,-2.0,1.3
2021,10,11th & M St NW,277.0,254.0,-23.0,23,-1.0,1.7
2021,11,11th & M St NW,263.0,210.0,-53.0,23,-2.3,1.6
2021,12,11th & M St NW,305.0,242.0,-63.0,23,-2.7,1.9
2021,13,11th & M St NW,268.0,229.0,-39.0,23,-1.7,1.7
2021,14,11th & M St NW,328.0,306.0,-22.0,23,-1.0,2.0
2021,15,11th & M St NW,334.0,278.0,-56.0,23,-2.4,2.1
2021,16,11th & M St NW,291.0,278.0,-13.0,23,-0.6,1.8
2021,17,11th & M St NW,335.0,320.0,-15.0,23,-0.7,2.1
2021,18,11th & M St NW,318.0,292.0,-26.0,23,-1.1,2.0
2021,19,11th & M St NW,384.0,356.0,-28.0,23,-1.2,2.4
2021,20,11th & M St NW,421.0,390.0,-31.0,23,-1.3,2.6
2021,21,11th & M St NW,315.0,266.0,-49.0,23,-2.1,2.0
2021,22,11th & M St NW,436.0,400.0,-36.0,23,-1.6,2.7
2021,23,11th & M St NW,367.0,367.0,0.0,23,0.0,2.3
2021,24,11th & M St NW,492.0,434.0,-58.0,23,-2.5,3.1
2021,25,11th & M St NW,431.0,404.0,-27.0,23,-1.2,2.7
2021,26,11th & M St NW,415.0,401.0,-14.0,23,-0.6,2.6
2021,27,11th & M St NW,486.0,477.0,-9.0,23,-0.4,3.0
2021,28,11th & M St NW,555.0,535.0,-20.0,23,-0.9,3.4
2021,29,11th & M St NW,505.0,499.0,-6.0,23,-0.3,3.1
2021,30,11th & M St NW,494.0,480.0,-14.0,23,-0.6,3.1
2021,31,11th & M St NW,474.0,470.0,-4.0,23,-0.2,2.9
2021,32,11th & M St NW,522.0,513.0,-9.0,23,-0.4,3.2
2021,33,11th & M St NW,454.0,450.0,-4.0,23,-0.2,2.8
2021,34,11th & M St NW,522.0,518.0,-4.0,23,-0.2,3.2
2021,35,11th & M St NW,468.0,474.0,6.0,23,0.3,2.9
2021,36,11th & M St NW,503.0,486.0,-17.0,23,-0.7,3.1
2021,37,11th & M St NW,460.0,479.0,19.0,23,0.8,2.9
2021,38,11th & M St NW,444.0,437.0,-7.0,23,-0.3,2.8
2021,39,11th & M St NW,514.0,509.0,-5.0,23,-0.2,3.2
2021,40,11th & M St NW,487.0,481.0,-6.0,23,-0.3,3.0
2021,41,11th & M St NW,474.0,458.0,-16.0,23,-0.7,2.9
2021,42,11th & M St NW,480.0,480.0,0.0,23,0.0,3.0
2021,43,11th & M St NW,483.0,484.0,1.0,23,0.0,3.0
2021,44,11th & M St NW,490.0,476.0,-14.0,23,-0.6,3.0
2021,45,11th & M St NW,482.0,478.0,-4.0,23,-0.2,3.0
2021,46,11th & M St NW,444.0,448.0,4.0,23,0.2,2.8
2021,47,11th & M St NW,298.0,281.0,-17.0,23,-0.7,1.9
2021,48,11th & M St NW,436.0,429.0,-7.0,23,-0.3,2.7
2021,49,11th & M St NW,388.0,376.0,-12.0,23,-0.5,2.4
2021,50,11th & M St NW,386.0,379.0,-7.0,23,-0.3,2.4
2021,51,11th & M St NW,227.0,225.0,-2.0,23,-0.1,1.4
2021,52,11th & M St NW,164.0,164.0,0.0,23,0.0,1.0
2021,53,11th & M St NW,55.0,53.0,-2.0,23,-0.1,0.3
2022,1,11th & M St NW,173.0,167.0,-6.0,23,-0.3,1.1
2022,2,11th & M St NW,192.0,193.0,1.0,23,0.0,1.2
2022,3,11th & M St NW,230.0,232.0,2.0,23,0.1,1.4
2022,4,11th & M St NW,211.0,207.0,-4.0,23,-0.2,1.3
2022,5,11th & M St NW,220.0,221.0,1.0,23,0.0,1.4
2022,6,11th & M St NW,265.0,267.0,2.0,23,0.1,1.6
2022,7,11th & M St NW,219.0,218.0,-1.0,23,-0.0,1.4
2022,8,11th & M St NW,240.0,243.0,3.0,23,0.1,1.5
2022,9,11th & M St NW,318.0,325.0,7.0,23,0.3,2.0
2022,10,11th & M St NW,280.0,266.0,-14.0,23,-0.6,1.7
2022,11,11th & M St NW,348.0,334.0,-14.0,23,-0.6,2.2
2022,12,11th & M St NW,315.0,312.0,-3.0,23,-0.1,2.0
2022,13,11th & M St NW,323.0,322.0,-1.0,23,-0.0,2.0
2022,14,11th & M St NW,303.0,284.0,-19.0,23,-0.8,1.9
2022,15,11th & M St NW,356.0,373.0,17.0,23,0.7,2.2
2022,16,11th & M St NW,387.0,370.0,-17.0,23,-0.7,2.4
2022,17,11th & M St NW,411.0,392.0,-19.0,23,-0.8,2.6
2022,18,11th & M St NW,372.0,363.0,-9.0,23,-0.4,2.3
2022,19,11th & M St NW,449.0,437.0,-12.0,23,-0.5,2.8
2022,20,11th & M St NW,473.0,447.0,-26.0,23,-1.1,2.9
2022,21,11th & M St NW,409.0,411.0,2.0,23,0.1,2.5
2022,22,11th & M St NW,501.0,490.0,-11.0,23,-0.5,3.1
2022,23,11th & M St NW,500.0,488.0,-12.0,23,-0.5,3.1
2022,24,11th & M St NW,439.0,442.0,3.0,23,0.1,2.7
2022,25,11th & M St NW,427.0,424.0,-3.0,23,-0.1,2.7
2022,26,11th & M St NW,475.0,470.0,-5.0,23,-0.2,3.0
2022,27,11th & M St NW,470.0,469.0,-1.0,23,-0.0,2.9
2022,28,11th & M St NW,581.0,592.0,11.0,23,0.5,3.6
2022,29,11th & M St NW,517.0,522.0,5.0,23,0.2,3.2
2022,30,11th & M St NW,525.0,508.0,-17.0,23,-0.7,3.3
2022,31,11th & M St NW,521.0,517.0,-4.0,23,-0.2,3.2
2022,32,11th & M St NW,524.0,497.0,-27.0,23,-1.2,3.3
2022,33,11th & M St NW,507.0,512.0,5.0,23,0.2,3.1
2022,34,11th & M St NW,520.0,514.0,-6.0,23,-0.3,3.2
2022,35,11th & M St NW,594.0,576.0,-18.0,23,-0.8,3.7
2022,36,11th & M St NW,546.0,546.0,0.0,23,0.0,3.4
2022,37,11th & M St NW,656.0,628.0,-28.0,23,-1.2,4.1
2022,38,11th & M St NW,639.0,634.0,-5.0,23,-0.2,4.0
2022,39,11th & M St NW,490.0,481.0,-9.0,23,-0.4,3.0
2022,40,11th & M St NW,497.0,490.0,-7.0,23,-0.3,3.1
2022,41,11th & M St NW,516.0,498.0,-18.0,23,-0.8,3.2
2022,42,11th & M St NW,493.0,487.0,-6.0,23,-0.3,3.1
2022,43,11th & M St NW,534.0,543.0,9.0,23,0.4,3.3
2022,44,11th & M St NW,457.0,460.0,3.0,23,0.1,2.8
2022,45,11th & M St NW,428.0,424.0,-4.0,23,-0.2,2.7
2022,46,11th & M St NW,310.0,315.0,5.0,23,0.2,1.9
2022,47,11th & M St NW,283.0,278.0,-5.0,23,-0.2,1.8
2022,48,11th & M St NW,390.0,372.0,-18.0,23,-0.8,2.4
2022,49,11th & M St NW,394.0,396.0,2.0,23,0.1,2.4
2022,50,11th & M St NW,313.0,317.0,4.0,23,0.2,1.9
2022,51,11th & M St NW,182.0,170.0,-12.0,23,-0.5,1.1
2022,52,11th & M St NW,256.0,246.0,-10.0,23,-0.4,1.6
2023,1,11th & M St NW,321.0,321.0,0.0,23,0.0,2.0
2023,2,11th & M St NW,309.0,308.0,-1.0,23,-0.0,1.9
2023,3,11th & M St NW,348.0,346.0,-2.0,23,-0.1,2.2
